company_permalink,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,price_amount,price_currency_code,acquired_at,acquired_at_cleaned,id
/company/kiver-digital,/company/sounday,Sounday,web,ITA,,Cagliari,Cagliari,,USD,11/29/13,2013-11-29 00:00:00,3501
/company/kiwibox,/company/magnitude-information-systems,Magnitude Information Systems,,,,unknown,,2700000.0,USD,8/16/07,2007-08-16 00:00:00,3502
/company/kizimo-art-company,/company/netsferatu-inc,Netsferatu,mobile,USA,NC,Raleigh-Durham,Research Triangle Park,,USD,7/1/10,2010-07-01 00:00:00,3503
/company/klers,/company/interactive-data,Interactive Data,software,USA,MA,Boston,Bedford,2.99E7,USD,2/17/09,2009-02-17 00:00:00,3504
/company/klicknation,/company/electronicarts,Electronic Arts,games_video,USA,WA,SF Bay,Redwood City,,USD,12/1/11,2011-12-01 00:00:00,3505
/company/klipsch,/company/audiovox,Audiovox,hardware,USA,NY,Hauppauge,Hauppauge,,USD,2/3/11,2011-02-03 00:00:00,3506
/company/klockwork,/company/rogue-wave-software,Rogue Wave Software,software,USA,CO,Denver,Boulder,,USD,1/9/14,2014-01-09 00:00:00,3507
/company/kluster,/company/quirky,Quirky,ecommerce,USA,NY,New York,New York,,USD,1/1/09,2009-01-01 00:00:00,3508
/company/kma-direct-communications,/company/the-pursuant-group,The Pursuant Group,consulting,USA,TX,Dallas,Dallas,,USD,1/11/11,2011-01-11 00:00:00,3509
/company/kmdm,/company/mobiquity,Mobiquity,mobile,USA,MA,Boston,Wellesley,,USD,9/20/11,2011-09-20 00:00:00,3510
/company/kneebone,/company/deloitte,Deloitte,consulting,ESP,,Madrid,Madrid,,USD,4/9/13,2013-04-09 00:00:00,3511
/company/knibble,/company/fxlabs-studios-private-ltd,FXLabs Studios Private Ltd,web,IND,,Hyderbad,Hyderbad,,USD,12/1/07,2007-12-01 00:00:00,3512
/company/knight-carver-wind-group,/company/upwind-solutions,UpWind Solutions,cleantech,USA,CA,San Diego,San Diego,,USD,9/12/10,2010-09-12 00:00:00,3513
/company/knightsbridge-solutions,/company/hewlett-packard,Hewlett-Packard,web,USA,CA,SF Bay,Palo Alto,,USD,12/12/06,2006-12-12 00:00:00,3514
/company/kno,/company/intel,Intel,hardware,USA,CA,SF Bay,Santa Clara,,USD,11/10/13,2013-11-10 00:00:00,3515
/company/knovel,/company/elsevier,Elsevier,web,NLD,,Amsterdam,Amsterdam,,USD,1/7/13,2013-01-07 00:00:00,3516
/company/know-your-meme,/company/pet-holdings-inc,Cheezburger,news,USA,WA,Seattle,Seattle,,USD,3/28/11,2011-03-28 00:00:00,3517
