评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
别人非遗我匪夷,2022-02-21 00:54:40,5,评论,别人非遗我匪夷,0.3299
这个像不像那俩警察画的鱼,2022-02-21 00:54:24,5,评论,这个像不像那俩警察画的鱼,0.5357
挺丑的,2022-02-21 00:54:00,5,评论,挺丑的,0.0741
已经开始走申遗程序思密达,2022-02-21 00:48:02,5,评论,已经开始走申遗程序思密达,0.1791
和剪纸的区别在哪？,2022-02-21 00:45:48,4,评论,和剪纸的区别在哪？,0.3222
撕纸也能非遗？…………我算什么东西[大哭],2022-02-21 00:40:47,5,评论,撕纸也能非遗？…我算什么东西,0.0143
在弹幕里发china/chinese的是不是蠢蛋哈哈哈哈，偷视频又不偷弹幕，除了影响观感啥用没有,2022-02-21 00:39:51,5,评论,在弹幕里发china/chinese的是不是蠢蛋哈，偷视频又不偷弹幕，除了影响观感啥用没有,0.0195
这是不是算最早的剪纸呀？,2022-02-21 00:38:20,5,评论,这是不是算最早的剪纸呀？,0.1849
龟龟[doge],2022-02-21 00:34:05,5,评论,龟,0.0835
怎么说呢确实很厉害徒手说撕就撕，但这东西说实话很尴尬，有些东西你说它把确实算是门手艺是个本事，但毕竟学手艺学本事主要目的就是糊口，所以正儿八经专门去学可能有点难，如果作为一门美术课手工课推广到学校去，这个还靠谱一点。,2022-02-21 00:33:43,6,评论,怎么说呢确实很厉害徒手说撕就撕，但这东西说实话很尴尬，有些东西你说它把确实算是门手艺是个本事，但毕竟学手艺学本事主要目的就是糊口，所以正儿八经专门去学可能有点难，如果作为一门美术课手工课推广到学校去，这个还靠谱一点。,0.0138
感觉手工撕这种可以做出不规则感的技艺可以用在把大致的形确定好了之后更精细的操作啊，比如撕出更逼真的鱼尾巴或者别的动物的绒毛之类的，不知道有没有这样的撕纸呢,2022-02-21 00:29:39,6,评论,感觉手工撕这种可以做出不规则感的技艺可以用在把大致的形确定好了之后更精细的操作啊，比如撕出更逼真的鱼尾巴或者别的动物的绒毛之类的，不知道有没有这样的撕纸呢,0.9137
