评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
染料是板蓝根做的合剂，上色时候里面提前放了盐碱之类的东西，正常清洗不掉色或者说微乎其微，而且板蓝根掉色也没什么有害的[口罩],2021-07-28 06:03:16,5,回复,染料是板蓝根做的合剂，上色时候里面提前放了盐碱之类的东西，正常清洗不掉色或者说微乎其微，而且板蓝根掉色也没什么有害的,0.1264
好美啊。。真的美到窒息了……过程也好好看，像在洗一片深蓝的天空，里面混着柔软朦胧的月色[提摩西小队_我死了][提摩西小队_我死了],2021-07-27 21:57:35,5,评论,好美啊。真的美到窒息了…过程也好看，像在洗一片深蓝的天空，里面混着柔软朦胧的月色,0.9968
太好看了，好爱，哪有卖,2021-07-27 21:39:48,5,评论,太好看了，好爱，哪有卖,0.9577
心疼你的手,2021-07-27 21:18:04,5,评论,心疼你的手,0.5926
太美啦，辛苦了！,2021-07-27 21:11:51,5,评论,太美啦，辛苦了！,0.98
哇～,2021-07-27 20:48:00,5,评论,哇～,0.8042
原来是这样，好厉害！,2021-07-27 20:42:19,6,评论,原来是这样，好厉害！,0.6909
救命🆘中国，你到底还有多少惊喜（非遗）是朕不知道的[脱单doge][脱单doge][脱单doge][脱单doge][脱单doge],2021-07-27 19:50:12,4,评论,救命🆘中国，你到底还有多少惊喜（非遗）是朕不知道的,0.6569
加水印啊up！,2021-07-27 19:36:47,5,评论,加水印啊up！,0.4888
卧槽太牛了真好看！,2021-07-27 19:25:46,6,评论,卧槽太牛了真好看！,0.7883
好美，它值得拥有水印。up记得以后打水印以防棒子国人呐,2021-07-27 19:22:31,4,评论,好美，它值得拥有水印。up记得以后打水印以防棒子国人呐,0.9316
这个蜡线..遇火会化掉吗,2021-07-27 19:05:25,4,评论,这个蜡线.遇火会化掉吗,0.1778
这做一个披风，或者是古代的那种衣服，背后一片梨花映月，美不胜收。,2021-07-27 18:56:01,5,评论,这做一个披风，或者是古代的那种衣服，背后一片梨花映月，美不胜收。,0.91
我们美术老师带我们做过[脱单doge],2021-07-27 18:52:35,5,评论,我们美术老师带我们做过,0.9283
防偷国!🇨🇳🇨🇳🇨🇳,2021-07-27 18:39:24,5,评论,防偷国!🇨🇳,0.7982
啊小时候去凤凰古城，买了一套蜡染的衣服，臭美了我好久，原来是这样子做出来的,2021-07-27 18:33:06,5,评论,啊小时候去凤凰古城，买了一套蜡染的衣服，臭美了我好久，原来是这样子做出来的,0.9072
我们有蓝印花课，这好难的，别看着很轻松。,2021-07-27 18:14:52,5,评论,我们有蓝印花课，这好难的，别看着很轻松。,0.9142
镜头转的有点恍，其他都挺好的,2021-07-27 17:43:36,5,评论,镜头转的有点恍，其他都挺好的,0.8968
太惊艳了思密达[doge],2021-07-27 16:21:25,6,评论,太惊艳了思密达,0.8676
