评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
我觉得很好玩，但是颜色真的跟这次东奥颁奖服一样不太好看，也许可以把配色做的更好一些，受众会更多,2022-01-10 23:44:37,5,评论,我觉得很好玩，但是颜色真的跟这次东奥颁奖服一样不太好看，也许可以把配色做的更好一些，受众会更多,0.6923
这特么跟我小时候买的不一样啊[疑惑],2022-01-10 21:49:02,5,评论,这特么跟我小时候买的不一样啊,0.1446
夏东海你怎么转行了？？？,2022-01-10 21:02:43,6,评论,夏东海你怎么转行了？,0.0169
哇！,2022-01-10 19:51:49,5,评论,哇！,0.7757
申遗了吗！？,2022-01-10 17:33:02,5,评论,申遗了吗！？,0.0382
夏东海!!!!!!,2022-01-10 12:23:07,4,评论,夏东海!,0.6598
见过这个玩意儿只是不知道还有这么多玩法,2022-01-10 12:16:54,4,评论,见过这个玩意儿只是不知道还有这么多玩法,0.0604
这跟我们校运会开幕式上那个女生方阵拿的是一个东西吗？,2022-01-10 09:39:00,5,评论,这跟我们校运会开幕式上那个女生方阵拿的是一个东西吗？,0.0693
厉害了，小时候好像见过类似的玩具，不会玩[笑哭],2022-01-10 09:26:03,5,评论,厉害了，小时候好像见过类似的玩具，不会玩,0.3774
大哥 我看了好几遍，别说手了，脑子都没学会[doge][捂脸],2022-01-10 01:23:45,5,评论,大哥 我看了好几遍，别说手了，脑子都没学会,0.1518
好神奇,2022-01-09 17:39:51,5,评论,好神奇,0.9412
东西很简单，翻的技术太强了,2022-01-09 17:15:10,6,评论,东西很简单，翻的技术太强了,0.4178
真好[打call],2022-01-09 16:21:52,4,评论,真好,0.9912
我小时玩过[喜极而泣][喜极而泣][喜极而泣],2022-01-09 13:50:56,5,评论,我小时玩过,0.4981
哇[热词系列_知识增加],2022-01-09 12:15:56,4,评论,哇,0.779
好像夏东海啊,2022-01-09 11:51:34,6,评论,好像夏东海啊,0.5633
[妙啊]但是我大受震惊,2022-01-09 07:44:28,6,评论,但是我大受震惊,0.6082
听得我起一身鸡皮疙瘩,2022-01-09 02:16:45,4,评论,听得我起一身鸡皮疙瘩,0.7375
好神奇,2022-01-09 01:05:16,4,评论,好神奇,0.9412
以前玩过,2022-01-08 21:50:22,5,评论,以前玩过,0.5725
好东西还得会玩，给我一架顶级钢琴，还是噪音，哈哈哈哈,2022-01-08 20:24:37,3,评论,好东西还得会玩，给我一架顶级钢琴，还是噪音，哈,0.9644
开门，德云社录取通知书来了,2022-01-08 19:37:09,5,评论,开门，德云社录取通知书来了,0.8607
配色可以好看一点，好混搭,2022-01-08 16:22:01,5,评论,配色可以好看一点，好混搭,0.9337
请问在哪里买[星星眼],2022-01-08 12:48:43,5,评论,请问在哪里买,0.1624
我小的时候牙膏皮子切换翻花，暴露年龄啦。,2022-01-08 11:58:30,5,评论,我小的时候牙膏皮子切换翻花，暴露年龄啦。,0.2058
这嘴卖吗？,2022-01-08 11:30:38,5,评论,这嘴卖吗？,0.0269
怎么说呢 高手在民间[微笑],2022-01-08 11:11:20,5,评论,怎么说呢 高手在民间,0.4556
之前看到过别的up发过一次视频，就觉得很厉害了，没想到这次遇到一个更厉害的,2022-01-08 09:24:24,3,评论,之前看到过别的up发过一次视频，就觉得很厉害了，没想到这次遇到一个更厉害的,0.5957
给大家解释一下：这就是rapper们退休后的日常兼职，没必要大惊小怪,2022-01-07 22:12:57,4,评论,给大家解释一下：这就是raper们退休后的日常兼职，没必要大惊小怪,0.0203
大哥这嘴巴有八成的功劳，听完我这么大人都想买[tv_点赞],2022-01-07 18:44:55,5,评论,大哥这嘴巴有八成的功劳，听完我这么大人都想买,0.8037
“李云龙的绣花鞋”哈哈哈哈哈哈,2022-01-07 17:41:01,3,评论,“李云龙的绣花鞋”哈,0.5827
花买了，嘴多少钱？,2022-01-07 17:12:22,6,评论,花买了，嘴多少钱？,0.1118
日本的南京玉帘玩法儿很像这个哇,2022-01-07 16:36:43,5,评论,日本的南京玉帘玩法儿很像这个哇,0.8472
，，，字母一档，跟个韩国人似的,2022-01-07 13:55:22,5,评论,，字母一档，跟个韩国人似的,0.0765
挺厉害的,2022-01-07 12:52:57,5,评论,挺厉害的,0.8007
这嘴可以申请非遗,2022-01-07 10:26:59,6,评论,这嘴可以申请非遗,0.8273
觉得这东西是真的厉害，它也像传统艺术一样是写意的，需要小朋友充分的发挥自己的想象力，和创造力。,2022-01-07 01:44:37,5,评论,觉得这东西是真的厉害，它也像传统艺术一样是写意的，需要小朋友充分的发挥自己的想象力，和创造力。,0.8686
快申遗，不能被韩国人看到,2022-01-07 00:44:00,5,评论,快申遗，不能被韩国人看到,0.4408
好厉害 千万别失传,2022-01-06 22:08:18,5,评论,好厉害 千万别失传,0.2543
我小时候好像在会上见过,2022-01-06 21:46:35,5,评论,我小时候好像在会上见过,0.7424
90后模糊的记得，小时候玩过。,2022-01-06 21:32:40,4,评论,90后模糊的记得，小时候玩过。,0.2871
那个，，，嘴皮子卖不[原神_嗯],2022-01-06 17:59:38,5,评论,那个，嘴皮子卖不,0.0803
https://b23.tv/BV1KL411j7hc,2022-01-06 17:57:57,5,评论,htps:/b23.tv/BV1KL41j7hc,0.6919
惊人……,2022-01-06 16:12:57,6,评论,惊人…,0.3893
小时候一番就坏,2022-01-05 21:23:06,4,评论,小时候一番就坏,0.6022
预计会加入鬼畜全明星[doge],2022-01-05 13:27:50,6,评论,预计会加入鬼畜全明星,0.7151
看了三遍[嗑瓜子]大哥喝口水吧,2022-01-05 10:54:05,4,评论,看了三遍大哥喝口水吧,0.8789
我完全没看翻花，注意一直在人脸上和嘴巴开合间[笑哭],2022-01-04 21:02:23,5,评论,我完全没看翻花，注意一直在人脸上和嘴巴开合间,0.1014
口齿真好,2022-01-04 09:46:04,5,评论,口齿真好,0.9966
顶流民间rapper[doge][妙啊]还带手艺，谁敢不服[doge][妙啊],2022-01-04 01:54:39,5,评论,顶流民间raper,0.6576
厉害,2022-01-03 22:22:38,5,评论,厉害,0.4861
赶紧学，年要到了，有节目了,2022-01-03 19:53:37,5,评论,赶紧学，年要到了，有节目了,0.6377
韩国人狂喜:又有东西偷了,2022-01-03 17:12:21,5,评论,韩国人狂喜:又有东西偷了,0.1937
花厉害手法厉害口条更厉害,2022-01-03 11:32:18,5,评论,花厉害手法厉害口条更厉害,0.3144
小时候过年最喜欢的玩具之一，前一阵逛淘宝忽然推送很多小时候玩的玩具就有这个东西，后来搜一搜好多小时候的玩具都有！,2022-01-03 07:08:04,5,评论,小时候过年最喜欢的玩具之一，前一阵逛淘宝忽然推送很多小时候玩的玩具就有这个东西，后来搜一搜好多小时候的玩具都有！,0.9937
小时候经常买这个来玩，好久没见过了！,2022-01-03 00:40:25,5,评论,小时候经常买这个来玩，好久没见过了！,0.8681
口才好好哦,2022-01-02 19:15:30,5,评论,口才好哦,0.9202
嘴在哪里买的？(ﾟoﾟ;[doge],2022-01-02 19:01:32,5,评论,嘴在哪里买的？(ﾟoﾟ;,0.1492
质量真好啊，折腾不坏,2022-01-02 17:48:51,5,评论,质量真好啊，折腾不坏,0.9691
小时候特别喜欢翻花灯，软糯又好看，就是容易着[笑哭][笑哭],2022-01-02 16:19:36,5,评论,小时候特别喜欢翻花灯，软糯又好看，就是容易着,0.9722
[热词系列_知识增加][热词系列_好活],2022-01-02 15:42:00,6,评论,,0.567
[大哭]原来可以玩出那么多花样啊，小时候完全不知道啊,2022-01-02 14:59:19,6,评论,原来可以玩出那么多花样啊，小时候完全不知道啊,0.8208
原来这个这么玩，小时候只会打开一挽关上[无语],2022-01-02 13:04:23,6,评论,原来这个这么玩，小时候只会打开一挽关上,0.7072
小时候买过，拿回家被我爸不小心一屁股坐断了[辣眼睛],2022-01-02 10:30:35,5,评论,小时候买过，拿回家被我爸不小心一屁股坐断了,0.7093
这个。。。,2022-01-02 03:44:53,6,评论,这个。,0.4985
这个叨叨叨叨叨叨，太上头了[脸红],2022-01-02 03:03:48,5,评论,这个叨，太上头了,0.7113
很抱歉打断你[脱单doge] 如果可以的话 请你点进去看看这位父亲[难过] @15花开 关注一下河南南阳二中的校园恶劣事件 也许你的这一眼 就会让真相大白[爱心] 拜托了[保佑],2022-01-02 01:27:58,5,评论,很抱歉打断你,0.1903
说的溜,2022-01-02 01:13:09,6,评论,说的溜,0.4807
这位老师在抖音里变着装的表演这一段,2021-12-31 22:59:41,5,评论,这位老师在抖音里变着装的表演这一段,0.5668
很好玩，不过我觉得这个表现形式可以尝试和现在年轻人喜欢的高质量内容结合一下。做更复杂的东西…像折纸那样。有个吸管画画两面不一样甚至发光胶带还能第三幅…翻花也能这样设计吗？,2021-12-31 22:53:41,6,评论,很好玩，不过我觉得这个表现形式可以尝试和现在年轻人喜欢的高质量内容结合一下。做更复杂的东西…像折纸那样。有个吸管画两面不一样甚至发光胶带还能第三幅…翻花也能这样设计吗？,0.9963
啊？？！！卧艹，还能这么多玩法的吗[辣眼睛],2021-12-31 20:49:34,4,评论,啊？！卧艹，还能这么多玩法的吗,0.0038
完了，我小时候只会打开，翻过来，再合上[笑哭],2021-12-31 20:49:45,6,评论,完了，我小时候只会打开，翻过来，再合上,0.7099
牛啊,2021-12-31 15:58:02,5,评论,牛啊,0.8072
端午挂的塑料葫芦就是这样的。,2021-12-31 04:41:26,6,评论,端午挂的塑料葫芦就是这样的。,0.2107
好棒啊,2021-12-30 19:46:54,5,评论,好棒啊,0.9932
嘴和手都得申遗！,2021-12-30 18:41:01,5,评论,嘴和手都得申遗！,0.5283
在哪买的,2021-12-30 17:39:07,5,评论,在哪买的,0.4612
哇，太厉害了！,2021-12-30 14:52:58,4,评论,哇，太厉害了！,0.5324
有链接么，想买,2021-12-30 13:42:30,5,评论,有链接么，想买,0.5355
我看了好几遍，太魔性了,2021-12-30 13:02:09,6,评论,我看了好几遍，太魔性了,0.9635
好厉害好厉害好厉害,2021-12-30 11:42:18,6,评论,好厉害,0.8592
好玩,2021-12-30 10:50:04,6,评论,好玩,0.934
Skr,2021-12-30 08:46:42,5,评论,Skr,0.6055
这也能非遗？有够无聊的,2021-12-30 07:58:38,5,评论,这也能非遗？有够无聊的,0.0149
[笑哭]以前买过，但不知道怎么玩,2021-12-30 03:37:06,6,评论,以前买过，但不知道怎么玩,0.1657
@xxz725,2021-12-30 01:04:22,5,评论,@xz725,0.8596
你做一个！,2021-12-30 01:38:14,5,回复,你做一个！,0.4352
厉害的不是这个花，是这张嘴啊,2021-12-29 22:52:25,5,评论,厉害的不是这个花，是这张嘴啊,0.0607
这rap不错[doge],2021-12-29 19:35:33,6,评论,这rap不错,0.9232
偷国人和倭人：这是我滴[藏狐],2021-12-29 12:35:13,5,评论,偷国人和倭人：这是我滴,0.4295
这嘴可以申遗吧[第五人格_惊],2021-12-29 00:21:52,5,评论,这嘴可以申遗吧,0.6591
这项目我王多鱼投了,2021-12-28 13:56:00,6,评论,这项目我王多鱼投了,0.4555
好嘴皮子,2021-12-28 13:42:40,6,评论,好嘴皮子,0.7564
卧槽,2021-12-28 13:19:04,4,评论,卧槽,0.023
上头，盯着看了好几遍,2021-12-28 03:16:49,5,评论,上头，盯着看了好几遍,0.9611
主要结合想象力,2021-12-28 01:20:43,5,评论,主要结合想象力,0.9793
顶级律动,2021-12-28 00:42:45,5,评论,顶级律动,0.9671
这是啥？没见过，长见识了,2021-12-28 00:42:43,5,评论,这是啥？没见过，长见识了,0.0137
太棒了,2021-12-27 23:43:40,5,评论,太棒了,0.9455
好厉害(｢･ω･)｢,2021-12-27 22:09:35,5,评论,好厉害(｢･ω･)｢,0.8318
整个二次元的，大卖,2021-12-27 17:32:03,5,评论,整个二次元的，大卖,0.7059
再来一个！就喜欢听唱,2021-12-27 16:28:36,5,评论,再来一个！就喜欢听唱,0.9773
小时候见过诶，就是不知道咋玩就当普通扇子拉着玩,2021-12-27 16:21:30,5,评论,小时候见过诶，就是不知道咋玩就当普通扇子拉着玩,0.0903
好厉害,2021-12-27 15:02:17,6,评论,好厉害,0.8592
小时候买这个完全浪费了，自己压根不会翻，我好蠢,2021-12-27 10:29:34,6,评论,小时候买这个完全浪费了，自己压根不会翻，我好蠢,0.0117
溜溜溜溜溜溜,2021-12-27 02:46:55,4,评论,溜,0.4427
我初二那一年陕运会，半个运动场人拿着扇子那么大的翻花当人肉背景[doge],2021-12-27 02:11:50,5,评论,我初二那一年陕运会，半个运动场人拿着扇子那么大的翻花当人肉背景,0.1545
何凯文老师终于找点正事干了,2021-12-27 00:09:48,5,评论,何凯文老师终于找点正事干了,0.5198
啊～～这一定是仙术,2021-12-26 22:31:21,5,评论,啊～这一定是仙术,0.6598
别让思密达和八格牙路看见[doge],2021-12-26 21:26:34,5,评论,别让思密达和八格牙路看见,0.4115
小时候可喜欢买这个，但很快就没有卖的了呜呜呜呜,2021-12-26 21:22:18,5,评论,小时候可喜欢买这个，但很快就没有卖的了呜,0.9159
厉害,2021-12-26 21:17:43,4,评论,厉害,0.4861
卧槽，这东西好好玩[哦呼],2021-12-26 20:50:01,6,评论,卧槽，这东西好玩,0.1418
以前很喜欢这个,2021-12-26 20:34:46,5,评论,以前很喜欢这个,0.9024
感觉老祖宗们都好能玩啊,2021-12-26 19:41:41,5,评论,感觉老祖宗们都好能玩啊,0.9262
[大哭][大哭][大哭]帅,2021-12-26 18:09:04,4,评论,帅,0.993
小时候买了也不会玩[大哭],2021-12-26 18:06:38,5,评论,小时候买了也不会玩,0.6013
小时候能看到时没钱买，现在有钱不知道哪卖了。,2021-12-26 17:14:18,6,评论,小时候能看到时没钱买，现在有钱不知道哪卖了。,0.2342
这个居然这么多玩法,2021-12-26 17:10:41,5,评论,这个居然这么多玩法,0.2725
小时候也玩过，不过和他的不一样，里面结构只能单纯的拉开翻开。这里他们好像好多层都分开的，以前玩的只有一层,2021-12-26 16:47:38,6,评论,小时候也玩过，不过和他的不一样，里面结构只能单纯的拉开翻开。这里他们好像好多层都分开的，以前玩的只有一层,0.9472
我人都傻了,2021-12-26 11:39:12,3,评论,我人都傻了,0.0619
这就是中国有嘻哈吗,2021-12-26 11:21:43,5,评论,这就是中国有嘻哈吗,0.1946
我真是土包子，这么牛逼的东西，我小时候拉几下就烂了,2021-12-26 10:14:03,5,评论,我真是土包子，这么牛逼的东西，我小时候拉几下就烂了,0.1427
小时候有很多这样的小玩具~~~,2021-12-26 10:06:34,4,评论,小时候有很多这样的小玩具~,0.852
这说唱太棒了[tv_流鼻血],2021-12-26 00:50:27,5,评论,这说唱太棒了,0.912
你重新说一遍[泠鸢yousa_滑稽],2021-12-25 23:43:21,6,评论,你重新说一遍,0.771
听着好舒服,2021-12-25 23:08:20,6,评论,听着好舒服,0.9676
我看你能翻出什么花来，是出自这种翻花吗[思考],2021-12-25 20:16:02,5,评论,我看你能翻出什么花来，是出自这种翻花吗,0.035
原来是这么玩的，太牛了,2021-12-25 19:18:59,5,评论,原来是这么玩的，太牛了,0.5731
我缺的是翻花吗？我缺的是那双手和那张嘴啊,2021-12-25 16:16:25,5,评论,我缺的是翻花吗？我缺的是那双手和那张嘴啊,0.0189
师傅，有没有考虑整个教学不,2021-12-25 15:28:35,6,评论,师傅，有没有考虑整个教学不,0.1255
想买了，哪还有得卖啊,2021-12-25 15:11:49,5,评论,想买了，哪还有得卖啊,0.401
刚一点进来：这有什么的呀看了一会：？？？等会，这怎么弄的？,2021-12-25 13:49:08,6,评论,刚一点进来：这有什么的呀看了一会：？等会，这怎么弄的？,0.0171
小时候好像玩过，不过玩不出这么多花样[笑哭],2021-12-25 13:42:46,6,评论,小时候好像玩过，不过玩不出这么多花样,0.9494
这是这么玩的？我觉得自己除了不聪明还没有创造力[笑哭],2021-12-25 13:42:42,5,评论,这是这么玩的？我觉得自己除了不聪明还没有创造力,0.0543
