评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
歌罢奏。敛步拂开罗袖。宾扇轻摇香汗透。软香沾素手。小立偎人良久。一寸娇波横溜。心事未言眉已皱。无端催劝酒。,2021-03-29 12:03:50,5,评论,歌罢奏。敛步拂开罗袖。宾扇轻摇香汗透。软香沾素手。小立偎人良久。一寸娇波横溜。心事未言眉已皱。无端催劝酒。,0.1623
好！,2021-03-29 03:25:05,5,评论,好！,0.8847
Up的金颜香用的是哪种香料？,2021-03-28 22:45:36,5,评论,Up的金颜香用的是哪种香料？,0.0723
蹲外套[doge],2021-03-28 18:55:14,5,评论,蹲外套,0.7309
没…没手可以么,2021-03-28 18:08:04,6,评论,没…没手可以么,0.1428
宋的东西很优雅啊,2021-03-28 17:10:39,6,评论,宋的东西很优雅啊,0.9868
超喜欢宋朝的[喜欢]up主有网店吗，蹲一个材料包[星星眼],2021-03-28 14:35:11,6,评论,超喜欢宋朝的,0.99
先打个标记,2021-03-28 09:41:31,5,评论,先打个标记,0.6853
up主有网店吗？还有您出的书在哪里可以买到正版的哇？[星星眼][星星眼][星星眼][星星眼],2021-03-27 14:06:55,5,评论,up主有网店吗？还有您出的书在哪里可以买到正版的哇？,0.2601
蹲店铺,2021-03-27 12:00:00,5,评论,蹲店铺,0.7098
哇,2021-03-27 07:51:32,5,评论,哇,0.7857
就是宋灭亡的原因,2021-03-27 07:48:23,3,评论,就是宋灭亡的原因,0.3631
宋制yyds,2021-03-26 23:38:32,4,评论,宋制yds,0.6105
求成品！！！,2021-03-26 23:33:07,5,评论,求成品！,0.5193
想买，材料包，成品都可,2021-03-26 17:05:47,5,评论,想买，材料包，成品都可,0.7611
有店铺吗[捂眼],2021-03-26 12:27:00,5,评论,有店铺吗,0.3036
好棒啊 我都想戴,2021-03-26 03:44:42,5,评论,好棒啊 我都想戴,0.9911
好想拥有[星星眼][星星眼],2021-03-25 21:15:40,5,评论,好想拥有,0.9876
我来看美女了,2021-03-25 18:45:32,4,评论,我来看美女了,0.8212
想买！啊啊啊,2021-03-25 11:37:22,5,评论,想买！啊,0.5794
[酸了][酸了]我也想闻闻,2021-03-25 11:34:11,6,评论,我也想闻,0.8547
想买,2021-03-25 11:05:39,5,评论,想买,0.6123
哇！！！！！！好厉害,2021-03-25 08:24:39,5,评论,哇！好厉害,0.9209
首页通知书,2021-03-25 01:00:09,5,评论,首页通知书,0.8937
咋就一条弹幕？太惨了[笑哭],2021-03-24 23:03:57,5,评论,咋就一条弹幕？太惨了,0.0159
