,word,count
789,一条,7
790,s8,7
791,一名,7
792,we,7
793,难受,7
794,我会,7
795,贺喜,7
796,打假,7
797,喊楼,7
798,我国,7
799,quot,7
800,梦回,7
801,网友,7
802,完事,7
803,官博,7
804,建立,7
805,直播间,7
806,干得,7
807,再见,7
808,照片,7
809,来个,7
810,电子,7
811,请问,7
812,学生,7
813,保安,7
814,干嘛,7
815,宝石,7
816,设计,7
817,23,7
818,太猛,7
819,韩双,7
820,帅气,7
821,传奇,7
822,出个,7
823,edg7,7
824,一批,7
825,导弹,7
826,行业,7
827,功劳,7
828,凯南,7
829,追星,7
830,不易,7
831,五局,7
832,力量,7
833,名字,7
834,fmvp,7
835,竞粉,7
836,背负,7
837,赢得,7
838,奥运会,7
839,收复,7
840,每人,7
841,主题,7
842,太多,7
843,海报,7
844,提前,7
845,说好,7
846,30,7
847,无数次,7
848,嘲讽,7
849,行不行,7
850,junjia,7
851,至少,7
852,滴神,7
853,留在,7
854,解说,7
855,瘫坐,7
856,卷毛,7
857,二号,7
858,猪崽,7
859,不明,7
860,等待,7
861,科普,7
862,好家伙,7
863,FMVP,7
864,克拉斯,7
865,真不容易,7
866,日子,7
867,上海,7
868,错过,7
869,男孩子,7
870,买房,7
871,心脏,7
872,半径,7
873,正好,7
874,强队,7
875,颜色,7
876,吴亦凡,7
877,终究,7
878,听见,7
879,上班,7
880,三局,7
881,此生,7
882,不黑,7
883,乌龟,7
884,伤害,7
885,算是,7
886,赛制,7
887,从来不,7
888,空间,7
889,接触,7
890,北京,7
891,也许,7
892,三星,7
893,网上,7
894,要争,7
895,很难,7
896,三观,7
897,两年,7
898,过激,7
899,报警,7
900,违法,7
901,犯法,7
902,游行,7
903,野性,7
904,恶心,7
905,奶茶,6
906,在座,6
907,大哥,6
908,剃头,6
909,白费,6
910,抗韩,6
911,开微博,6
912,集合,6
913,没看,6
914,晚安,6
915,管泽元,6
916,生日礼物,6
917,转会,6
918,更是,6
919,地方,6
920,开局,6
921,牛比,6
922,女朋友,6
923,记住,6
924,助力,6
925,太顶,6
926,一份,6
927,老婆,6
928,王朝,6
929,状态,6
930,早就,6
931,Viper,6
932,本条,6
933,平台,6
934,全网,6
935,系列,6
936,顺利,6
937,看不到,6
938,楼下,6
939,Khan,6
940,离开,6
941,有生之年,6
942,众望所归,6
943,心跳,6
944,帅哥,6
945,剧本,6
946,表现,6
947,竞技,6
948,哇塞,6
949,信念,6
950,一半,6
951,身上,6
952,佛爷,6
953,祖国,6
954,关心,6
955,再接再厉,6
956,制造,6
957,满贯,6
958,差点,6
959,大旗,6
960,家里,6
961,留下,6
962,饭圈,6
963,疯批,6
964,有荣,6
965,恶臭,6
966,14,6
967,三冠,6
968,三家,6
969,尽头,6
970,黑夜,6
971,19,6
972,千言万语,6
973,做好,6
974,太有,6
975,转粉,6
976,心疼,6
977,失败,6
978,阿布,6
979,目标,6
980,守卫,6
981,立下,6
982,炫君,6
983,社会,6
984,发个,6
985,三次,6
986,赢下,6
987,无悔,6
988,这支,6
989,世冠,6
990,当初,6
991,韩援,6
992,落后,6
993,买单,6
994,觉厉,6
995,赛事,6
996,关系,6
997,玄学,6
998,由头,6
999,破防,6
1000,打扰,6
1001,舍友,6
1002,长脸,6
1003,女性,6
1004,舞台,6
1005,落下,6
1006,头发,6
1007,赛场,6
1008,荣获冠军,6
1009,生日快乐,6
1010,表演,6
1011,不枉,6
1012,我辈,6
1013,起立,6
1014,深夜,6
1015,毒奶,6
1016,氛围,6
1017,发泄,6
1018,106,6
1019,妹控,6
1020,凑热闹,6
1021,反正,6
1022,梦里,6
1023,晦气,6
1024,如愿,6
1025,季中赛,6
1026,最终,6
1027,最具,6
1028,传播,6
1029,毛病,6
1030,衣服,6
1031,眼球,6
1032,对立,6
1033,写字,6
1034,疯子,6
1035,下限,6
1036,神经病,6
1037,招黑,6
1038,第三座,5
1039,消防,5
1040,宣传,5
1041,雄起,5
1042,苦尽甘来,5
1043,输赢,5
1044,贡献,5
1045,揭棺,5
1046,四个,5
1047,生气,5
1048,血书,5
1049,支棱,5
1050,麒麟,5
1051,认可,5
1052,身体,5
1053,走到,5
1054,牛笔,5
1055,解约,5
1056,竞人,5
1057,懂不懂,5
1058,官宣,5
1059,置顶,5
1060,回忆,5
1061,再来,5
1062,名单,5
1063,摆烂,5
