,Unnamed: 0,word,count,情感分值
40300,40300,死鱼,4,0.0788
40370,40370,旅差,3,0.0549
40420,40420,膀子,3,0.0984
40442,40442,显脏,3,0.0595
40507,40507,真不简单,3,0.0936
40601,40601,刷抖音,3,0.0607
40753,40753,鸟蛋,3,0.0826
40805,40805,旧石器时代,3,0.0366
40900,40900,没骗,3,0.0646
40979,40979,后怒,3,0.0311
40988,40988,假花,3,0.0339
41046,41046,不大一,3,0.0845
41246,41246,白不在,3,0.0799
41307,41307,弃舟,3,0.0337
41318,41318,钱似,3,0.0625
41336,41336,倒也不是,3,0.0595
41459,41459,玄乎,3,0.0817
41473,41473,似真似假,3,0.0037
41480,41480,老面孔,3,0.0973
41501,41501,硬气,3,0.0566
41850,41850,鸟兽散,3,0.0986
41861,41861,描出,3,0.0911
41974,41974,不太消,3,0.099
42035,42035,锤子,3,0.0417
42063,42063,弄不好,3,0.0597
42177,42177,想不通,3,0.0679
42213,42213,很丑,3,0.0317
42282,42282,编修,3,0.0423
42286,42286,何用,3,0.0761
42339,42339,扯淡,3,0.0119
42377,42377,一团乱麻,3,0.0533
42391,42391,硬软,3,0.0528
42407,42407,发出声音,3,0.0577
42467,42467,慎入,3,0.0705
42469,42469,略重,3,0.0996
42520,42520,麻痹,3,0.0349
42568,42568,织黎锦编,3,0.0629
42595,42595,慎之又慎,3,0.0142
42656,42656,得慢,3,0.0866
42715,42715,雷暴雨,3,0.0274
42790,42790,离场,3,0.0692
42985,42985,且慢,3,0.0613
43088,43088,查无此人,3,0.0518
43097,43097,收揽,3,0.0867
43103,43103,包屁衣,3,0.0099
43278,43278,难搞,3,0.069
43367,43367,全不,3,0.0837
43383,43383,偏差,3,0.0532
43477,43477,废物,3,0.0574
43546,43546,造孽,3,0.0427
43589,43589,货不太全,3,0.0761
43632,43632,败兴而归,3,0.081
43642,43642,郁闷死,3,0.0299
43650,43650,踩死,3,0.0868
43656,43656,突遇,3,0.0816
43685,43685,狗叫,3,0.0955
