title,time,country,type,comment,quote,number
惊魂记,1960, 美国 , 悬疑 惊悚 恐怖                        ,230830人评价,故事的反转与反转，分裂电影的始祖。,9.0
忠犬八公物语,1987, 日本 , 剧情                        ,166986人评价,养狗三日，便会对你终其一生。,9.2
海街日记,2015, 日本 , 剧情 家庭                        ,375096人评价,是枝裕和的家庭习作。,8.8
荒蛮故事,2014, 阿根廷 西班牙 , 剧情 喜剧 犯罪                        ,380388人评价,始于荒诞，止于更荒诞。,8.8
爆裂鼓手,2014, 美国 , 剧情 音乐                        ,495963人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,8.7
贫民窟的百万富翁,2008, 英国 , 剧情 爱情                        ,660799人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,8.6
真爱至上,2003, 英国 美国 法国 , 喜剧 剧情 爱情                        ,630382人评价,爱，是个动词。,8.6
东邪西毒,1994, 中国香港 中国台湾 , 剧情 动作 爱情 武侠 古装                        ,512288人评价,电影诗。,8.6
绿里奇迹,1999, 美国 , 犯罪 剧情 奇幻 悬疑                        ,270219人评价,天使暂时离开。,8.9
小偷家族,2018, 日本 , 剧情 犯罪 家庭                        ,722167人评价,我们组成了家。,8.7
爱在午夜降临前,2013, 美国 希腊 , 剧情 爱情                        ,320376人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,8.8
无敌破坏王,2012, 美国 , 喜剧 动画 奇幻 冒险                        ,463033人评价,迪士尼和皮克斯拿错剧本的产物。,8.7
冰川时代,2002, 美国 , 喜剧 动画 冒险                        ,540030人评价,松鼠才是角儿。,8.6
黑天鹅,2010, 美国 , 剧情 惊悚                        ,712135人评价,黑暗之美。,8.6
你看起来好像很好吃,2010, 日本 , 剧情 动画 儿童                        ,292973人评价,感情不分食草或者食肉。,8.9
疯狂的石头,2006, 中国大陆 中国香港 , 喜剧 犯罪                        ,703997人评价,中国版《两杆大烟枪》。,8.5
萤火虫之墓,1988, 日本 , 动画 剧情 战争                        ,367615人评价,幸福是生生不息，却难以触及的远。 ,8.7
色，戒,2007, 中国台湾 中国大陆 美国 中国香港 , 剧情 爱情 情色                        ,629864人评价,假戏真情，爱欲深海,8.6
雨人,1988, 美国 , 剧情                        ,358106人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,8.7
雨中曲,1952, 美国 , 喜剧 歌舞 爱情                        ,183405人评价,骨灰级歌舞片。,9.1
恐怖游轮,2009, 英国 澳大利亚 , 剧情 悬疑 惊悚                        ,702790人评价,不要企图在重复中寻找已经失去的爱。,8.5
恋恋笔记本,2004, 美国 , 剧情 爱情                        ,576439人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,8.6
魔女宅急便,1989, 日本 , 动画 奇幻 冒险                        ,398461人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,8.7
2001太空漫游,1968, 英国 美国 , 科幻 惊悚 冒险                        ,264237人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。,8.9
城市之光,1931, 美国 , 喜剧 剧情 爱情                        ,120388人评价,永远的小人物，伟大的卓别林。,9.3
可可西里,2004, 中国大陆 中国香港 , 剧情 犯罪                        ,260136人评价,坚硬的信仰。,8.8
虎口脱险,1966, 法国 英国 , 喜剧 战争                        ,214163人评价,永远看不腻的喜剧。,8.9
人工智能,2001, 美国 英国 , 剧情 科幻                        ,384267人评价,对爱的执着，可以超越一切。,8.7
遗愿清单,2007, 美国 , 冒险 喜剧 剧情                        ,364554人评价,用剩余不多的时间，去燃烧整个生命。,8.7
二十二,2015, 中国大陆 , 纪录片                        ,263835人评价,有一些东西不应该被遗忘。,8.7
初恋这件小事,2010, 泰国 , 剧情 喜剧 爱情                        ,885123人评价,黑小鸭速效美白记。,8.4
大佛普拉斯,2017, 中国台湾 , 剧情 喜剧                        ,368709人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。,8.7
海边的曼彻斯特,2016, 美国 , 剧情 家庭                        ,427004人评价,我们都有权利不与自己的过去和解。,8.6
奇迹男孩,2017, 美国 中国香港 , 剧情 儿童 家庭                        ,494956人评价,世界不完美，爱会有奇迹。,8.6
罗生门,1950, 日本 , 剧情 犯罪 悬疑                        ,269032人评价,人生的N种可能性。,8.8
牯岭街少年杀人事件,1991, 中国台湾 , 剧情 犯罪                        ,235143人评价,弱者送给弱者的一刀。,8.9
终结者2：审判日,1991, 美国 法国 , 动作 科幻                        ,301092人评价,少见的超越首部的续集，动作片中的经典。,8.8
房间,2015, 爱尔兰 加拿大 英国 美国 , 剧情 家庭                        ,333728人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,8.8
源代码,2011, 美国 加拿大 , 科幻 悬疑 惊悚                        ,715178人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,8.5
青蛇,1993, 中国香港 中国大陆 , 剧情 爱情 奇幻 古装                        ,452526人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,8.6
新龙门客栈,1992, 中国香港 中国大陆 , 动作 爱情 武侠 古装                        ,384925人评价,嬉笑怒骂，调风动月。,8.6
疯狂的麦克斯4：狂暴之路,2015, 澳大利亚 美国 , 动作 科幻 冒险                        ,456547人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,8.6
魂断蓝桥,1940, 美国 , 剧情 爱情 战争                        ,241563人评价,中国式内在的美国电影。,8.8
无耻混蛋,2009, 德国 美国 , 剧情 犯罪                        ,413586人评价,昆汀同学越来越变态了，比北野武还杜琪峰。,8.6
步履不停,2008, 日本 , 剧情 家庭                        ,237383人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,8.8
血钻,2006, 美国 德国 英国 , 剧情 惊悚 冒险                        ,322760人评价,每个美丽事物背后都是滴血的现实。,8.7
彗星来的那一夜,2013, 美国 英国 , 科幻 悬疑 惊悚                        ,469713人评价,小成本大魅力。,8.5
千钧一发,1997, 美国 , 剧情 科幻 惊悚                        ,240317人评价,一部能引人思考的科幻励志片。,8.8
黑客帝国2：重装上阵,2003, 美国 , 动作 科幻                        ,343931人评价,一个精彩的世界观正在缓缓建立。,8.6
燃情岁月,1994, 美国 , 剧情 爱情 战争 西部                        ,253914人评价,传奇，不是每个人都可以拥有。,8.8
战争之王,2005, 法国 德国 美国 , 剧情 犯罪                        ,312263人评价,做一颗让别人需要你的棋子。,8.7
