Source	Target	Type	Weight
地方	用心	Undirected	10
地方	步行	Undirected	11
地方	老板	Undirected	25
地方	体验	Undirected	17
地方	卫生间	Undirected	11
地方	早餐	Undirected	28
地方	观景台	Undirected	12
地方	油条	Undirected	11
地方	咖啡	Undirected	10
地方	龙脊	Undirected	13
地方	梯田	Undirected	16
时间	房间	Undirected	25
时间	民宿	Undirected	25
时间	行程	Undirected	10
时间	朋友	Undirected	12
时间	感觉	Undirected	11
时间	空调	Undirected	10
时间	环境	Undirected	10
时间	老板	Undirected	10
时间	早餐	Undirected	12
行李	房间	Undirected	39
行李	民宿	Undirected	23
行李	车	Undirected	10
行李	房东	Undirected	10
行李	感觉	Undirected	15
行李	前台	Undirected	16
行李	环境	Undirected	14
行李	停车场	Undirected	13
行李	老板	Undirected	12
行李	体验	Undirected	16
行李	味道	Undirected	13
行李	早餐	Undirected	24
行李	观景台	Undirected	10
行李	梯田	Undirected	10
房间	房间内	Undirected	10
房间	布置	Undirected	82
房间	用品	Undirected	57
房间	床	Undirected	70
房间	阳台	Undirected	39
房间	很漂亮	Undirected	34
房间	管家	Undirected	41
房间	行程	Undirected	30
房间	美食	Undirected	16
房间	心	Undirected	15
房间	车	Undirected	22
房间	风景	Undirected	55
房间	房子	Undirected	42
房间	投影	Undirected	17
房间	洗衣机	Undirected	24
房间	衣服	Undirected	10
房间	一家人	Undirected	28
房间	朋友	Undirected	82
房间	交通	Undirected	127
房间	厨房	Undirected	26
房间	烘干机	Undirected	12
房间	投影仪	Undirected	13
房间	姐姐	Undirected	10
房间	价格	Undirected	54
房间	电视	Undirected	14
房间	店	Undirected	50
房间	服务员	Undirected	12
房间	空调	Undirected	47
房间	前台	Undirected	49
房间	服务态度	Undirected	67
房间	热心	Undirected	25
房间	效果	Undirected	26
房间	热水	Undirected	13
房间	办理	Undirected	14
房间	情况	Undirected	10
房间	隔音	Undirected	29
房间	性价比	Undirected	90
房间	公园	Undirected	16
房间	电话	Undirected	10
房间	停车场	Undirected	31
房间	家庭	Undirected	25
房间	图片	Undirected	42
房间	机会	Undirected	46
房间	被子	Undirected	21
房间	鸡	Undirected	12
房间	用心	Undirected	55
房间	散步	Undirected	12
房间	夜景	Undirected	22
房间	客厅	Undirected	16
房间	布局	Undirected	12
房间	异味	Undirected	18
房间	游玩	Undirected	36
房间	门票	Undirected	10
房间	冰箱	Undirected	10
房间	美女	Undirected	16
房间	景区	Undirected	40
房间	大气	Undirected	10
房间	孩子	Undirected	34
房间	床品	Undirected	51
房间	院子	Undirected	17
房间	客人	Undirected	18
房间	路线	Undirected	17
房间	环境优美	Undirected	19
房间	店家	Undirected	43
房间	步行	Undirected	45
