名次,名称,场次,人次,票价,年份,国家,类型
118,古墓丽影：源起之战,27.44万,860.39万,35.8,['2018-03-16'],"['动作', '冒险']",[]
119,惊天魔盗团2,25.02万,696.68万,43.9,['2016-06-24'],['美国'],"['喜剧', '动作', '惊悚']"
120,哥斯拉2：怪兽之王,50.31万,801.55万,38,['2019-05-31'],['中国大陆'],"['动作', '冒险', '科幻']"
121,无名之辈,42.58万,856.28万,35.5,['2018-11-16'],['中国大陆'],"['剧情', '喜剧']"
122,超能陆战队,16.5万,633.59万,47.7,['2015-03-01'],['美国'],"['喜剧', '动作', '动画', '冒险', '科幻']"
123,父子雄兵,21.1万,864.29万,34.8,['2017-07-21'],['中国大陆'],"['剧情', '喜剧']"
124,末日崩塌,21.34万,652.03万,46,['2015-06-02'],['美国'],"['剧情', '动作', '惊悚']"
125,银河补习班,43.42万,810.71万,36.1,['2019-07-18'],['中国大陆'],['剧情']
126,天将雄师,11.82万,589.26万,49.7,['2015-02-19'],['中国大陆'],"['剧情', '动作', '冒险', '战争', '历史']"
127,邪不压正,28.64万,795.23万,36.7,['2018-07-13'],['中国大陆'],"['爱情', '动作', '冒险']"
128,我的少女时代,23.72万,768.66万,37.6,['2015-11-19'],['中国台湾'],"['剧情', '爱情']"
129,影,31.31万,776.5万,37,['2018-09-30'],['中国大陆'],"['剧情', '动作']"
130,狮子王,40.1万,731.45万,38.8,['2019-07-12'],['中国大陆'],"['动画', '冒险']"
131,攀登者,28.17万,705.06万,40,['2019-09-30'],['中国大陆'],"['剧情', '冒险']"
132,杀破狼2,19.45万,634.97万,44.4,['2015-06-18'],['中国大陆'],"['动作', '犯罪']"
133,西游记之孙悟空三打白骨精,33.35万,624.61万,44.9,['2016-02-08'],['中国大陆'],"['喜剧', '动作', '奇幻']"
134,战狼,17.97万,643.47万,43.6,['2015-04-02'],['中国大陆'],"['动作', '战争']"
135,李茶的姑妈,28.36万,781.69万,35.8,['2018-09-30'],['中国大陆'],['喜剧']
136,追龙,28.32万,847.12万,32.9,['2017-09-30'],['中国大陆'],"['动作', '犯罪']"
137,西游记女儿国,15.39万,679.46万,41,['90分钟'],"['剧情', '动作', '冒险', '奇幻']",[]
138,荒野猎人,21.7万,704.17万,39.5,['2016-03-18'],['美国'],"['剧情', '冒险', '西部']"
139,滚蛋吧！肿瘤君,20.55万,684.57万,40.6,['2015-08-13'],['中国大陆'],"['喜剧', '爱情']"
140,你的名字。,34.69万,847.49万,32.7,['2016-12-02'],"['中国大陆', '日本']","['剧情', '爱情', '动画']"
141,反贪风暴3,29.55万,739.08万,37.2,['2018-09-14'],['中国大陆'],"['剧情', '犯罪']"
142,英伦对决,21.71万,721.62万,38.1,['2017-09-30'],"['中国大陆', '英国']","['动作', '惊悚']"
143,王牌特工：特工学院,15.65万,664.04万,41.3,['2015-03-27'],['英国'],"['喜剧', '动作', '犯罪', '冒险']"
144,动物世界,27.49万,714.83万,38.1,['2018-06-29'],['中国大陆'],"['剧情', '动作', '冒险']"
145,新喜剧之王,17.34万,597.31万,45.2,['2019-02-05'],['中国大陆'],"['剧情', '喜剧']"
146,谍影重重5,25.06万,613.48万,42.9,['2016-08-23'],['美国'],"['动作', '惊悚', '悬疑']"
147,神奇动物在哪里,27.18万,633.27万,40.9,['2016-11-18'],"['美国', '英国']","['冒险', '家庭', '奇幻']"
148,独立日：卷土重来,20.14万,555.25万,46.6,['2016-06-24'],['美国'],"['动作', '冒险', '科幻', '灾难']"
149,星际特工：千星之城,22.64万,711.18万,36,['2017-08-25'],['法国'],"['动作', '冒险', '科幻']"
150,大侦探皮卡丘,47.04万,686.6万,37.2,['2019-05-10'],"['喜剧', '动画', '冒险']",[]
名次,名称,场次,人次,票价,年份,国家,类型
151,哆啦A梦：伴我同行,20.95万,587.01万,43.5,['2015-05-28'],['日本'],"['剧情', '动画', '家庭']"
152,美女与野兽,33.44万,670.44万,38,['2017-03-18'],['法国'],"['爱情', '奇幻']"
153,金刚狼3：殊死一战,36.86万,727.85万,34.9,['2017-03-03'],['美国'],"['剧情', '动作', '科幻']"
154,全球风暴,23.98万,724.22万,35,['2017-10-27'],"['动作', '科幻']",[]
155,勇敢者游戏：决战丛林,21.2万,702.89万,35.9,['2018-01-12'],"['动作', '冒险', '奇幻']",[]
156,冰川时代：星际碰撞,26.61万,598.93万,41.8,['2016-08-23'],['美国'],"['喜剧', '动画', '冒险']"
157,星际迷航3：超越星辰,22.57万,544.3万,45.7,['2016-09-02'],['美国'],"['动作', '冒险', '科幻']"
158,来电狂响,32.08万,696.12万,35.7,['2018-12-29'],['中国大陆'],"['剧情', '喜剧']"
159,王牌特工2：黄金圈,24.03万,686.84万,36.1,['2017-10-20'],['中国大陆'],"['喜剧', '动作', '冒险']"
160,杀破狼·贪狼,25.02万,754.79万,32.8,['2017-08-17'],['中国大陆'],"['剧情', '动作', '犯罪']"
161,捉妖记2,19.36万,647.87万,38.1,['2018-02-16'],['中国大陆'],"['喜剧', '奇幻']"
162,铁道飞虎,29.69万,635.71万,38.8,['2016-12-30'],['中国大陆'],"['喜剧', '动作']"
163,熊出没之变形记,15.97万,653.53万,37.6,['2018-02-16'],['中国大陆'],"['喜剧', '动画', '冒险']"
164,猩球崛起2：黎明之战,10.21万,488.62万,50.1,['130分钟'],"['剧情', '动作', '科幻']",[]
165,狄仁杰之四大天王,21.52万,607.61万,40.3,['2018-07-27'],['中国大陆'],"['动作', '悬疑']"
166,死侍2：我爱我家,32.24万,713.3万,34.1,['2019-01-25'],"['喜剧', '动作', '冒险', '科幻']",[]
167,爱丽丝梦游仙境2：镜中奇遇记,25.29万,552万,43.8,['2016-05-27'],['美国'],"['冒险', '家庭', '奇幻']"
168,白蛇：缘起,38.09万,688.16万,35,['2018-12-21'],['中国大陆'],"['动画', '奇幻']"
169,小时代4：灵魂尽头,14.65万,617.9万,38.7,['2015-07-09'],['中国大陆'],"['剧情', '喜剧', '爱情']"
170,银河护卫队,12.31万,472.18万,50.3,['122分钟'],"['动作', '冒险', '科幻']",[]
171,左耳,17.03万,608.99万,38.6,['2015-04-24'],['中国大陆'],"['剧情', '爱情']"
172,缝纫机乐队,25.76万,698.46万,33.6,['2017-09-30'],['中国大陆'],"['剧情', '喜剧']"
173,绝世高手,17.88万,734.12万,31.9,['2017-07-07'],['中国大陆'],"['喜剧', '动作']"
174,爱宠大机密,20.38万,547.44万,42.8,['2016-08-02'],['美国'],"['喜剧', '动画']"
175,敦刻尔克大撤退,23.69万,702.46万,33.2,['2017-09-01'],"['美国', '英国', '法国', '荷兰']","['剧情', '战争', '历史']"
176,灰姑娘,16.64万,588.37万,39.6,['2015-03-13'],['美国'],"['剧情', '爱情', '冒险', '奇幻']"
177,妖猫传,17.97万,634.68万,36.4,[],[],[]
178,绿皮书,35.46万,666.24万,34.5,['2019-03-01'],"['剧情', '喜剧']",[]
179,幕后玩家,22.12万,621万,35.8,['2018-04-28'],['中国大陆'],['剧情']
180,大人物,30.2万,595.8万,37.2,['2019-01-11'],['中国大陆'],"['剧情', '动作', '犯罪']"
181,拆弹专家,24.65万,654.53万,33.5,['2017-04-28'],['中国大陆'],"['动作', '犯罪', '悬疑']"
182,伦敦陷落,23.33万,498.58万,43.5,['2016-04-08'],"['美国', '英国']","['动作', '惊悚', '犯罪']"
183,哆啦A梦：大雄的南极冰寒大冒险,20.39万,722.16万,30,['2017-05-30'],['日本'],"['动画', '冒险']"
184,万万没想到：西游篇,17.68万,572.57万,37.6,['2015-12-18'],['中国大陆'],['喜剧']
185,一条狗的使命,37.72万,664.05万,32.1,['2017-03-03'],['美国'],"['剧情', '喜剧', '冒险']"
186,一步之遥,9.82万,411.78万,51.6,['2014-12-18'],['中国大陆'],"['剧情', '喜剧', '战争']"
187,驯龙高手3,27.07万,562.72万,37.6,['2019-03-01'],"['动画', '冒险', '奇幻']",[]
188,异星觉醒,17.46万,673.52万,31.1,['2017-05-19'],['美国'],"['惊悚', '恐怖', '科幻']"
189,爱情公寓,13.09万,565.16万,36.8,['2018-08-10'],['中国大陆'],"['喜剧', '爱情']"
190,雷霆沙赞！,23.27万,534.94万,38.9,['2019-04-05'],"['动作', '冒险', '奇幻']",[]
191,使徒行者2：谍影行动,27.85万,542.31万,38.3,['2019-08-07'],['中国大陆'],"['剧情', '动作', '犯罪']"
192,美国队长2,8.29万,378.96万,54.6,[],[],[]
193,大护法,15.72万,578.73万,35.6,['2017-07-13'],['中国大陆'],"['动画', '悬疑', '奇幻']"
194,泰山归来：险战丛林,17.02万,470.38万,43.7,['2016-07-19'],['美国'],"['动作', '冒险']"
195,爵迹,16.96万,483.41万,42.4,['2016-09-30'],['中国大陆'],"['动作', '动画', '冒险', '奇幻']"
196,老师·好,29.44万,571.62万,35.6,[],[],[]
197,X战警：逆转未来,9.31万,382.1万,53.2,['2014-05-23'],['美国'],"['动作', '冒险', '奇幻']"
198,情圣,31.36万,584.18万,33.7,['2016-12-30'],['中国大陆'],['喜剧']
199,极盗者,17.17万,440.34万,44.7,['2015-12-04'],"['美国', '中国大陆']","['动作', '惊悚', '犯罪']"
200,奇门遁甲,16.77万,550.92万,35.5,['2017-12-15'],"['动作', '奇幻']",[]
名次,名称,场次,人次,票价,年份,国家,类型
201,忍者神龟2,16.4万,431.97万,45,['2016-07-02'],['美国'],"['喜剧', '动作', '冒险', '奇幻', '科幻']"
202,天才枪手,20.64万,611.14万,31.8,['2017-10-13'],"['剧情', '犯罪', '悬疑']",[]
203,大话西游3,18.87万,462.98万,41.8,['2016-09-15'],['中国大陆'],"['剧情', '喜剧', '奇幻']"
204,匆匆那年,11.86万,474.21万,40.8,['2014-12-12'],['中国大陆'],"['剧情', '爱情']"
205,熊出没之熊心归来,17.05万,471.84万,41,['2016-01-16'],['中国大陆'],"['喜剧', '动画', '冒险']"
206,后会无期,9.24万,469.15万,41.1,['120分钟'],"['剧情', '爱情', '科幻']",[]
207,人再囧途之泰囧,8.14万,479.67万,40,['2012-12-12'],['中国大陆'],"['剧情', '喜剧']"
208,酒国英雄之摆渡人,22.78万,514.17万,37.1,['2016-12-23'],['中国大陆'],"['喜剧', '爱情']"
209,奔跑吧，兄弟,13.43万,497.68万,38.2,['2015-01-30'],['中国大陆'],['喜剧']
210,何以笙箫默,15.91万,495.52万,38.3,['2015-05-01'],['中国大陆'],"['剧情', '爱情']"
211,道士下山,12.46万,385.1万,49,['2015-07-03'],['中国大陆'],"['喜剧', '冒险', '奇幻']"
212,血战钢锯岭,26.98万,539.34万,34.7,['2016-12-08'],['美国'],"['剧情', '战争', '传记', '历史']"
213,厉害了，我的国,10.21万,506.45万,36.6,['90分钟'],['纪录片'],[]
214,黄金兄弟,20.3万,516.64万,35.8,['2018-09-21'],['中国大陆'],"['动作', '犯罪']"
215,致青春：原来你还在这里,15.46万,501.39万,36.8,['2016-07-08'],['中国大陆'],"['剧情', '爱情']"
216,神奇动物：格林德沃之罪,20.53万,467.14万,38.8,['2018-11-16'],"['冒险', '奇幻']",[]
217,超人总动员2,21.92万,497.38万,35.6,['2018-06-22'],"['喜剧', '动作', '动画', '冒险']",[]
218,澳门风云3,31.01万,418.91万,42.2,['2016-02-08'],['中国大陆'],"['喜剧', '动作']"
219,快把我哥带走,22.02万,521.47万,33.8,['2018-08-17'],['中国大陆'],"['喜剧', '奇幻']"
220,博物馆奇妙夜3,13.07万,418.82万,41.8,['2015-01-04'],"['美国', '英国']","['喜剧', '冒险', '家庭', '奇幻']"
221,我不是潘金莲,23.94万,486.8万,36,['2016-11-18'],['中国大陆'],"['剧情', '喜剧']"
222,悲伤逆流成河,23万,505.88万,34.3,['2018-09-21'],['中国大陆'],"['剧情', '爱情']"
223,火锅英雄,21.91万,442.79万,38.8,['2016-04-01'],['中国大陆'],"['剧情', '爱情', '动作']"
224,烈日灼心,16.36万,440.91万,38.9,['2015-08-27'],['中国大陆'],"['剧情', '犯罪', '悬疑']"
225,千与千寻,35.43万,493.22万,34.5,['2019-06-21'],['中国大陆'],"['剧情', '动画', '奇幻']"
226,超凡蜘蛛侠2,9.02万,313.32万,54.1,['2014-05-04'],['美国'],"['动作', '冒险', '奇幻']"
227,神战：权力之眼,15.09万,381.73万,44.2,['2016-03-11'],['美国'],"['冒险', '奇幻']"
228,星球大战：侠盗一号,23.31万,412.19万,40.6,['2017-01-06'],"['美国', '中国大陆']","['动作', '冒险', '科幻']"
229,机器之血,13.42万,470.05万,35.5,[],[],[]
230,移动迷宫：烧痕审判,14.37万,362.07万,45.9,['2015-10-22'],['美国'],"['动作', '惊悚', '科幻']"
231,忍者神龟：变种时代,10.19万,346.2万,47.9,['101分钟'],"['喜剧', '动作', '冒险']",[]
232,前任攻略2：备胎反击战,16.44万,445.39万,37.2,['2015-11-06'],['中国大陆'],"['喜剧', '爱情']"
233,封神传奇,15.16万,376.11万,43.7,['2016-07-29'],['中国大陆'],"['剧情', '动作', '奇幻']"
234,熊出没之奇幻空间,15.04万,452.16万,36.1,['2017-01-28'],['中国大陆'],"['动画', '冒险', '奇幻']"
235,移动迷宫3：死亡解药,16.09万,451.51万,36,['2018-01-26'],"['动作', '科幻']",[]
236,木星上行,9.87万,335万,48.4,['2015-03-06'],['美国'],"['动作', '冒险', '科幻']"
237,妖铃铃,12.9万,452.61万,35.7,[],[],[]
238,重返20岁,13.18万,405.56万,39.7,['2015-01-08'],['中国大陆'],"['喜剧', '爱情', '奇幻']"
239,星球大战8：最后的绝地武士,12.72万,416.1万,38.7,[],[],[]
240,横冲直撞好莱坞,14.05万,380.93万,41.9,['2015-06-26'],"['美国', '中国大陆']","['喜剧', '爱情', '动作', '冒险']"
241,我的特工爷爷,18.95万,415.43万,38.3,['2016-04-01'],['中国大陆'],"['剧情', '喜剧', '动作', '悬疑']"
242,西游降魔篇,6.66万,309.75万,50.6,['2013-02-10'],['中国大陆'],"['剧情', '喜剧', '冒险', '奇幻', '古装']"
243,铁血战士,18.36万,422.45万,36.8,['2018-10-26'],"['动作', '惊悚', '科幻']",[]
244,南极之恋,17.33万,463.13万,33.3,[],[],[]
245,哥斯拉,7.72万,290.84万,52.9,[],[],[]
246,调音师,26.26万,459.75万,33.5,['2019-04-03'],"['喜剧', '犯罪', '悬疑']",[]
247,终结者：黑暗命运,20.52万,395.95万,38.7,['2019-11-01'],"['动作', '冒险', '科幻']",[]
