评论内容,评论时间,评论人等级,评论类型
最后几秒那里，有种姚老师在用手捞鱼的样子,2021-10-12 16:22:19,5,评论
你视频敢不敢长点？？？[Cat2_Watching!],2021-10-12 15:35:17,6,评论
厉害了，有技术可以申国家专利之类的，加油鸭,2021-10-12 14:13:11,4,评论
好怕南抄县，绝技可得藏着点。,2021-10-12 14:05:31,5,评论
请问在哪儿能买到,2021-10-12 13:50:59,5,评论
这鱼的肚肚好有憨态啊   尾巴又好灵动的说 好绝啊   [打call][打call][打call][打call],2021-10-12 13:42:03,5,评论
大写的敬佩。。。,2021-10-12 13:41:06,5,评论
封面还以为是真的鱼，还在想什么鱼啊这么漂亮的[哦呼],2021-10-12 13:32:36,6,评论
能买吗,2021-10-12 13:20:24,3,评论
太强了,2021-10-12 13:08:19,5,评论
太牛了,2021-10-12 12:54:44,4,评论
[热词系列_吹爆][热词系列_神仙UP],2021-10-12 12:42:42,3,评论
我这身衣裳那可是苏绣~~,2021-10-12 12:37:14,6,评论
[支持][支持][支持][支持][支持][支持][爱心],2021-10-12 12:07:59,3,评论
[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]好厉害,2021-10-12 11:58:22,4,评论
欧 斯密达,2021-10-12 11:39:39,5,评论
我的天啊，惟妙惟俏不知道还以为是真的[打call]老师要考虑搞个水印咩[Cat2_CatAMail],2021-10-12 10:56:44,5,评论
你敢相信，当年这样技艺高超的刺绣作品，却比不上一个欧洲工业批量印染的破布的价格。当年真是,2021-10-12 10:54:30,6,评论
哇，真的是在创造美啊[支持][支持][支持],2021-10-12 10:52:56,5,评论
及时关注，未来就是老粉啦～,2021-10-12 10:50:02,5,评论
这是绣的[哦呼],2021-10-12 10:42:46,6,评论
太精美了，神乎其技！,2021-10-12 10:35:26,5,评论
[给心心]每次除了震惊，好美，神奇，厉害……我都想不到什么其他了,2021-10-12 10:30:06,5,评论
希望我们这些宝贝都能永永远远的流传下来,2021-10-12 10:19:11,5,评论
老师太厉害了！！！,2021-10-12 10:13:26,5,评论
封面真的很像鱼在鱼缸边诶,2021-10-12 10:10:52,6,评论
真的好漂亮我以为是玻璃缸里的鱼,2021-10-12 09:27:39,5,评论
这真的不是鱼缸嘛[热词系列_吹爆],2021-10-12 09:27:25,5,评论
这到底是怎么做到双面都绣到图案的？太厉害了[点赞],2021-10-12 09:01:45,6,评论
一看就贵系列，美！,2021-10-12 09:02:43,4,评论
哇,2021-10-12 08:58:41,6,评论
好真实。好手艺，巧夺天工，光彩夺目，以假乱真。不亏是大师[星星眼],2021-10-12 07:45:18,6,评论
别忘了强化水印，我可不想被谁偷走[辣眼睛],2021-10-12 03:58:04,5,评论
线太棒了！淘宝材料包基本就能劈一次,2021-10-12 02:16:01,5,评论
太美了,2021-10-12 01:49:38,6,评论
想知道这种非物质文化遗产普通人能学吗？是家族传承还是能拜师或付费学呀？,2021-10-12 01:43:05,5,评论
千万小心棒子打着交流合作的旗号偷。,2021-10-12 01:41:45,5,评论
传承啊,2021-10-12 01:40:07,4,评论
太强了！,2021-10-12 01:23:10,6,评论
这个好看！,2021-10-12 01:06:11,5,评论
记得用中国国旗弄在视频里，要不然韩国人又说是它们的,2021-10-12 01:02:08,6,评论
好神奇！！！,2021-10-12 00:46:52,5,评论
我膝盖又没了……[跪了],2021-10-12 00:46:22,6,评论
小心偷国,2021-10-12 00:20:58,5,评论
真的惊艳,2021-10-11 23:59:39,5,评论
哇…,2021-10-11 23:56:08,6,评论
潭中鱼可百许头，皆若空游无所依,2021-10-11 23:56:00,5,评论
[藏狐]张大伟的妈妈？,2021-10-11 23:52:53,5,评论
老师太厉害了！暂停一看像拿着金鱼。,2021-10-11 23:37:51,5,评论
鱼身颜色太好看了，就是背鳍形状好像不太对，看着有种病仄仄的感觉。当然不养鱼的话大概无感。,2021-10-11 23:24:24,5,评论
好美～,2021-10-11 23:09:25,4,评论
美爆了！！！,2021-10-11 23:08:30,5,评论
我以为是个鱼缸,2021-10-11 22:55:50,5,评论
害我这个苏绣小白怎么才能秀出这样这是乱针和虚实针爱了,2021-10-11 22:53:28,4,评论
美哭了[tv_大哭][tv_大哭],2021-10-11 22:42:24,5,评论
太棒了！！！！[打call][打call][打call][打call],2021-10-11 22:31:58,5,评论
老师的苏绣有展馆可以参观吗？想去看[给心心],2021-10-11 22:22:23,5,评论
有的，在镇湖,2021-10-11 22:49:50,5,回复
当心🇰🇷,2021-10-11 22:16:27,5,评论
太美了,2021-10-11 22:13:48,5,评论
妈耶，不敢想象一套满铺苏绣的衣服得珍贵到什么程度,2021-10-11 22:10:22,6,评论
大师，加个水印吧，不然会被韩国人偷视频，二改您的视频，或者直接用偷用您的作品,2021-10-11 22:03:46,5,评论
这要学估计的从小开始吧！,2021-10-11 22:03:45,5,评论
竟然还是双面的,2021-10-11 22:04:06,5,评论
活灵活现，栩栩如生,2021-10-11 21:44:31,5,评论
币不能要，必须给您,2021-10-11 21:40:40,5,评论
好像之前看过老师的作品展览,2021-10-11 21:40:09,5,评论
不错,2021-10-11 21:37:29,4,评论
我的天，老师的手太厉害了。,2021-10-11 21:28:39,5,评论
[热词系列_YYDS][热词系列_献上膝盖],2021-10-11 21:27:07,6,评论
之前去苏州和扬州还有乌镇旅游，在一个馆里就有刺绣展。有一幅猫，白色和黄色那种橘猫，可逼真了，又立体。拿当时的老人家（我奶奶给的手机，真老人机，10年的时候）模糊不已的像素，现在还保存着照片。,2021-10-11 21:18:27,4,评论
妈耶 这个狠 太狠了,2021-10-11 21:10:27,5,评论
好厉害！,2021-10-11 21:08:47,6,评论
妈耶，像真的鱼,2021-10-11 20:59:35,5,评论
绝了！！！,2021-10-11 20:56:47,5,评论
[热词系列_保护],2021-10-11 20:47:52,5,评论
皆若空游无所依,2021-10-11 20:33:50,5,评论
