评论内容,评论时间,评论人等级,评论类型
高一的时候做过，被骗了，交了150押金，去交成品的时候发现地方啥都没了，屋子锁了，里面乱七八糟像是被打劫过，我同学在那儿做，说是因为不收，不给钱，人家给他砸了。前两年还流行过涂沙画一样的，跟这个差不多，是填充，这个是描边，我一下就觉得是骗人。,2020-08-03 02:19:25,5,评论
因为这个视频入坑,2020-07-15 12:38:06,4,评论
请问这镊子是特制的吗,2020-07-14 14:55:34,6,评论
我这啊  都是自己做的,2020-07-14 20:54:49,4,回复
回复 @掐丝珐琅唐卡 :哪里能买到呢,2020-07-14 17:50:42,6,回复
是的,2020-07-14 17:46:17,4,回复
新手请教一下，左侧的拧线有经过什么特殊处理吗？上色沙子会不会流出来呀,2020-07-03 09:27:24,5,评论
[热词系列_爱了爱了],2020-07-02 23:34:51,4,评论
我会了[doge],2020-06-15 20:28:38,6,评论
胶水？,2020-06-15 00:19:42,5,评论
BGM贼好听[呲牙],2020-06-12 12:55:18,5,评论
脑子：切，这么简单我也可以手：可以你个桃子？快滚去写作业,2020-06-08 13:13:48,4,评论
[笑哭][笑哭][笑哭][笑哭][笑哭],2020-06-08 15:59:33,4,回复
[笑哭]我妈做过这个，是叫景泰蓝么,2020-05-31 17:52:01,5,评论
你手是真的稳！我今天又翻车了[囧],2020-05-29 07:46:44,6,评论
[笑哭][笑哭][笑哭],2020-05-29 08:33:56,4,回复
我居然有了种我也行的错觉 我这就去醒酒[跪了],2020-05-28 21:05:11,5,评论
回复 @掐丝珐琅唐卡 :已经醒了 我不行[跪了],2020-05-29 08:15:32,5,回复
酒大伤身  少喝点,2020-05-28 23:17:33,4,回复
兼职碰到过,2020-05-26 13:39:53,5,评论
手残党表示十分羡慕了啊[酸了],2020-05-22 16:45:13,5,评论
[鸡腿][鸡腿][鸡腿],2020-05-22 16:50:11,4,回复
回复 @掐丝珐琅唐卡 :哈哈哈哈哈哈,2020-05-22 18:13:19,5,回复
回复 @平安就好哈哈哈 :你不是羡慕嘛  给你个鸡腿先吃着  转移注意力,2020-05-22 17:58:44,4,回复
好看好看,2020-05-19 12:27:51,5,评论
就是二维变三维？,2020-05-08 08:04:13,5,评论
[喜极而泣],2020-05-08 08:33:29,4,回复
我在淘宝看到你的视频了，望了解,2020-05-04 19:29:06,5,评论
哎  我知道[喜极而泣][喜极而泣][喜极而泣]他们都偷我视频  都在抖因偷的  后来我把下载权限关了,2020-05-04 19:35:29,4,回复
回复 @掐丝珐琅唐卡 :[笑哭],2020-05-05 00:02:32,5,回复
在师范那会  选课美术就是这个   真的不难,2020-04-29 11:59:19,5,评论
太绝美了[星星眼][鸡腿],2020-04-28 21:03:22,6,评论
[鸡腿][鸡腿],2020-04-28 21:04:08,4,回复
我会做我也做过,2020-04-26 20:12:56,4,评论
好厉害,2020-04-26 02:12:19,6,评论
大大厉害，三连奉上,2020-04-24 10:44:55,4,评论
[鸡腿][鸡腿][鸡腿],2020-04-24 11:12:45,4,回复
不，是四连,2020-04-24 10:45:22,4,回复
没胶水的时候用的啥,2020-04-23 21:00:46,5,评论
胶瓶,2020-04-23 21:38:23,4,回复
好厉害！请加油！,2020-04-23 18:19:34,5,评论
[鸡腿][鸡腿],2020-04-23 18:26:20,4,回复
脑子：简单   手：老子枪呢,2020-04-23 16:35:51,6,评论
[喜极而泣][喜极而泣][喜极而泣],2020-04-23 16:36:26,4,回复
好棒！手好稳,2020-04-23 15:25:16,5,评论
[抱拳][抱拳][抱拳],2020-04-23 15:30:51,4,回复
太强了！好流畅！,2020-04-22 20:16:55,5,评论
[爱心][爱心],2020-04-22 21:10:44,4,回复
手在哪买，这也太稳了吧！羡慕[笑哭],2020-04-22 15:29:43,6,评论
在我妈那[喜极而泣][喜极而泣][喜极而泣],2020-04-22 15:53:12,4,回复
太好看了！,2020-04-21 13:41:37,5,评论
[抱拳][抱拳][抱拳],2020-04-21 13:51:55,4,回复
大佬受我一拜[星星眼],2020-04-20 21:00:24,5,评论
[鸡腿][鸡腿][鸡腿],2020-04-20 22:19:04,4,回复
非遗啊！,2020-04-20 20:58:46,5,评论
[抱拳][抱拳][抱拳],2020-04-20 22:19:09,4,回复
想請問，那個膠水尖尖的頭是自己換的嗎？有名稱嗎？謝謝。,2020-04-20 00:33:39,5,评论
回复 @chunlove :不客气[抱拳],2020-04-21 17:06:11,4,回复
回復 @掐丝珐琅唐卡 :謝謝妳！,2020-04-21 14:55:46,5,回复
针头,2020-04-20 00:42:18,4,回复
胶水堵针孔怎么办,2020-04-19 19:52:17,5,评论
通啊  还用问吗,2020-04-19 20:03:40,4,回复
我有点膨胀，居然想试试,2020-04-19 16:52:55,6,评论
这两天在给大家配材料包  可以关注我淘宝店铺  玩艺手作  想试着做到时候可以选一个或者来图配材料包,2020-04-19 16:54:10,4,回复
在首页刷到[热词系列_不愧是你],2020-04-19 13:23:17,5,评论
[爱心][爱心][爱心],2020-04-19 13:33:56,4,回复
其实挺容易的 装饰课做过,2020-04-18 23:35:06,6,评论
做容易  做好不容易,2020-04-18 23:50:54,4,回复
我在淘宝看到过完全一致的视频？！[疑惑],2020-04-18 21:04:22,4,评论
被盗用了   好多在抖音偷我视频的,2020-04-18 21:15:28,4,回复
真的好厉害好丝滑啊，up真的很厉害啊,2020-04-18 20:54:56,5,评论
[爱心][爱心][爱心],2020-04-18 20:57:50,4,回复
这是我的选修专业[胜利],2020-04-18 19:14:15,6,评论
[鸡腿][鸡腿],2020-04-18 19:26:46,4,回复
我以前一直以为这种是用模具做出来的，长见识了[鸡腿],2020-04-18 15:53:16,5,评论
这个工艺没办法机器替代,2020-04-18 17:00:23,4,回复
胶水不会干在针管里吗？[喜极而泣]我上次的胶水就干在针管里堵死了还不知道怎么搞出来[喜极而泣],2020-04-18 14:27:12,5,评论
那是你时间太长了,2020-04-18 17:00:36,4,回复
自己尝试了一幅掐丝画，其实没有很难，但是费时间，费精力，感觉up的转折的部分掐的好好，，我总是掐不出尖,2020-04-18 13:30:43,5,评论
回复 @官方回答 :那也很牛逼  只要能做出自己的作品就是牛逼的,2020-04-18 17:01:13,4,回复
回复 @掐丝珐琅唐卡 :没看大佬之前:我好牛逼看了大佬之后:我牛逼个球球😂,2020-04-18 14:54:01,5,回复
所以说还是难  做出作品和做好作品有些天壤之别,2020-04-18 14:13:16,4,回复
这就是大佬的手么[热词系列_秀]话说这个丝是咋固定在纸上的？是沾了胶吗？,2020-04-18 13:10:26,5,评论
回复 @咔哇咔七七 :不客气[爱心],2020-04-18 13:26:33,4,回复
回复 @掐丝珐琅唐卡 :哦哦，蟹蟹阿婆主,2020-04-18 13:26:17,5,回复
不是纸  粘的,2020-04-18 13:14:31,4,回复
亿点点细节[支持],2020-04-18 11:00:10,5,评论
[鸡腿][鸡腿],2020-04-18 11:06:18,4,回复
我还以为镶嵌或者雕刻在上面的,2020-04-18 08:35:03,5,评论
好想做一下试试，感觉好玩又好看，啊对了，首页通知书,2020-04-18 07:35:28,5,评论
我正在给大家配材料包  可以关注我淘宝店  玩艺手作,2020-04-18 08:46:12,4,回复
冒昧的问一下，是纯金的吗？！,2020-04-18 02:18:17,5,评论
镀金,2020-04-18 08:46:18,4,回复
切，就这？这么简单，我的一看就会了，要不是我的手不肯配合，我一定能做出来[doge],2020-04-18 00:15:01,4,评论
[喜极而泣][喜极而泣][喜极而泣],2020-04-18 00:35:10,4,回复
好舒适啊[tv_微笑],2020-04-17 22:22:19,5,评论
[鸡腿][鸡腿][鸡腿],2020-04-17 22:41:52,4,回复
上首页啦，好好看。,2020-04-17 22:01:40,5,评论
谢谢夸奖,2020-04-17 22:41:57,4,回复
太厉害了啊啊啊啊啊啊啊啊啊啊啊啊啊啊，最喜欢这种匠心文化了，都是传统文化了,2020-04-17 20:55:41,5,评论
谢谢夸奖和支持,2020-04-17 22:42:06,4,回复
为啥看完有一种很爽的感觉[doge],2020-04-17 19:04:25,5,评论
要么是我手艺好要么就是视频有治愈效果[喜极而泣][喜极而泣],2020-04-17 19:08:08,4,回复
我看这有一种爽度是什么情况[笑哭],2020-04-17 18:41:55,5,评论
可能证明你有些许的强迫症和焦躁症  瞎说  不接受反驳[喜极而泣][喜极而泣][喜极而泣],2020-04-17 18:51:44,4,回复
好棒！很好看啊！,2020-04-17 18:36:13,5,评论
[鸡腿][鸡腿],2020-04-17 18:37:53,4,回复
古代没有502是怎么做出来的？,2020-04-17 18:25:42,6,评论
回复 @豆汁儿得配焦圈儿 :古代科技有限只能用自然界有的啊,2020-04-20 18:07:08,4,回复
回复 @掐丝珐琅唐卡 :那个不是中药吗？感觉好厉害啊[tv_点赞],2020-04-20 15:43:42,6,回复
白芨,2020-04-17 18:26:23,4,回复
好厉害，upnb[打call],2020-04-17 17:49:55,5,评论
[鸡腿][鸡腿][抱拳][抱拳],2020-04-17 18:00:11,4,回复
说实话，我想学，但是没有地方学，而且我也怕自己坚持不下来[笑哭],2020-04-17 16:10:41,5,评论
回复 @末生_tiokou :先学好传统文化的知识和绘画方面的知识  以后要想学这个工艺  会对自己有很大帮助,2020-04-17 22:44:00,4,回复
我教学员,2020-04-17 16:16:51,4,回复
回复 @末生_tiokou :了解一下色彩基础就行  多接触下手工,2020-04-17 23:48:45,4,回复
您家有24k花丝吗？要满填，可以接受焊药部分纯度略低,2020-04-17 12:55:32,6,评论
回复 @大蛇卡斯 :不客气,2020-04-17 13:01:56,4,回复
我不是卖金丝的  你得找金店和金银加工厂,2020-04-17 12:59:49,4,回复
回复 @掐丝珐琅唐卡 :了解，谢啦,2020-04-17 13:01:07,6,回复
好好看啊好厉害,2020-04-17 12:37:50,5,评论
[抱拳][抱拳][鸡腿],2020-04-17 12:39:08,4,回复
加油(ง •̀_•́)ง好看！,2020-04-16 23:53:47,6,评论
[爱心][爱心],2020-04-17 00:33:23,4,回复
请问大大用的胶水是哪款呀[捂脸][捂脸]我自己买的总是拔丝,2020-04-16 22:49:23,6,评论
掐丝胶,2020-04-16 23:00:58,4,回复
这个镊子。看着很好用的样子。这个铜丝也很软的样子。up可以求一下链接吗？,2020-04-16 19:05:33,5,评论
回复 @掐丝珐琅唐卡 :好哒(ˊ˘ˋ*)♡,2020-04-16 19:16:24,5,回复
回复 @漠漠漠漠漠喵 :不客气  需要的话找我  可以给你做,2020-04-16 19:15:55,4,回复
回复 @掐丝珐琅唐卡 :soga原来是定制的产品，谢谢up,2020-04-16 19:14:14,5,回复
掐丝真的是掐的，好厉害[tv_呆],2020-04-16 13:59:36,2,评论
谢谢夸奖  掐丝不掐  咋弄[喜极而泣][喜极而泣],2020-04-16 14:00:15,4,回复
这个我太熟了，当年还被骗了两百块押金[抠鼻]就是做完一直说不合格的套路[doge][doge][doge],2020-04-16 13:52:15,5,评论
那就证明不合格  你要和我一样做个七八年再拿去  你看他敢说不合格不,2020-04-16 14:00:54,4,回复
礼貌问下，这个到底是有非常专业的手法，还是只要有耐心，就会能上手呀。我很想弄，但怕自己弄不好，不能挂出来，也舍不得扔,2020-04-16 12:41:41,6,评论
回复 @墨袭墨袭墨袭君 :不客气,2020-04-17 20:47:53,4,回复
回复 @掐丝珐琅唐卡 :好哒！谢谢！,2020-04-17 20:40:00,6,回复
都可以做的，我上大学的时候干兼职就做过这个。,2020-04-16 20:22:31,5,回复
up是不是在淘宝有店?,2020-04-16 11:54:52,6,评论
是的  目前只有手机壳  过两天给大家上diy材料包,2020-04-16 12:21:57,4,回复
这个铜丝是怎么自然弯曲成这样的😳让我来肯定铜丝变铜疙瘩[doge],2020-04-16 11:46:28,3,评论
哈哈  多练,2020-04-16 12:22:09,4,回复
好厉害！想看没加速的[鸡腿],2020-04-16 05:43:26,5,评论
不加速的话几分十来分钟都看不出变化,2020-04-16 08:45:14,4,回复
太棒了！！,2020-04-15 23:17:01,5,评论
[抱拳][抱拳][抱拳],2020-04-15 23:19:07,4,回复
太流畅了吧！！递膝盖！,2020-04-15 22:20:15,6,评论
[抱拳][抱拳][抱拳],2020-04-15 22:23:16,4,回复
好棒啊,2020-04-15 22:10:56,6,评论
[抱拳][抱拳][抱拳],2020-04-15 22:13:49,4,回复
好精致好看啊[打call],2020-04-15 20:59:53,6,评论
[抱拳][抱拳][抱拳][爱心][爱心],2020-04-15 21:00:41,4,回复
太优秀了，手残党留下了泪水,2020-04-15 20:11:04,5,评论
[爱心][爱心][爱心],2020-04-15 20:33:50,4,回复
666关注了,2020-04-15 20:09:55,6,评论
[抱拳][抱拳][抱拳],2020-04-15 20:33:54,4,回复
自己试过，真的有点难,2020-04-15 19:11:59,6,评论
[喜极而泣][喜极而泣]要不能成为非遗吗,2020-04-15 19:35:22,4,回复
厉害，像我就是扭来扭去半天不成型的[笑哭],2020-04-15 19:03:45,5,评论
你要和我一样做手艺七八年你也可以,2020-04-15 19:10:42,4,回复
这个弧度看得真舒服~,2020-04-15 17:51:56,5,评论
强迫症患者的读音[喜极而泣][喜极而泣][喜极而泣],2020-04-15 17:56:13,4,回复
