片名,地区,评分,上映时间
"逃跑 Run",美国,6.7,2020-11-20(美国网络)
"老大不小",中国大陆,6.9,2020-07-07(中国大陆)
"风平浪静",中国大陆,6.2,2020-11-06(中国大陆)/2020-07-29(上海电影节)
"战争幽灵 Ghosts of War",英国,6.7,2020-07-17(英国)
"怪胎",中国台湾,7.1,2020-08-07(中国台湾)/2020-06-29(乌迪内远东电影节)
"清白 결백",韩国,6.8,2020-06-10(韩国)
"熊出没·狂野大陆",中国大陆,6.5,2021-02-12(中国大陆)/2020-08-01(上海电影节)
"紧急救援",中国大陆/中国香港,6.1,2020-12-18(中国大陆)
"弓蕉园的秘密 弓蕉園的秘密",中国台湾,7.0,2021-04-18(中国台湾)
"恋途未卜 思い、思われ、ふり、ふられ",日本,6.6,2020-09-18(日本)
"少年侦探 The Kid Detective",加拿大,7.1,2020-10-16(美国)
"寻汉计",中国大陆/中国香港,6.2,2021-05-01(中国大陆)
"绝密档案 Archive",英国/匈牙利/美国,6.8,2020-07-10(美国)
"胜利号 승리호",韩国,6.5,2021-02-05(韩国网络)
"希望 望み",日本,7.0,2020-10-09(日本)
"寻找见习魔女 おジャ魔女どれみ 魔女見習いをさがして",日本,7.2,2020-11-13(日本)
"剧场版 美少女战士Eternal 前篇 劇場版 美少女戦士セーラームーンEternal 前編",日本,6.8,2021-01-08(日本)/2021-06-03(日本网络)
"海底小纵队：火焰之环",中国大陆/英国,6.9,2021-01-08(中国大陆)
"由宇子的天平 由宇子の天秤",日本,7.6,2020-10-11(平遥国际电影展)/2020-10-25(釜山电影节)/2021(日本)
"让他走 Let Him Go",美国,7.0,2020-11-06(美国)
"约会大作战 赤黑新章：虚或实 デート・ア・バレット 前編「デッド・オア・バレット」",日本,7.5,2020-08-14(日本)
"野马分鬃",中国大陆,7.0,2021(中国大陆)/2020-10-15(平遥国际电影展)
"想哭的我戴上了猫的面具 泣きたい私は猫をかぶる",日本,6.4,2020-06-18(日本/中国大陆网络)
"马卡卢索往事 Le sorelle macaluso",意大利,7.2,2020-09-09(威尼斯电影节)/2020-09-10(意大利)
"致所有的男孩：爱你永远 To All The Boys: Always And Forever",美国,6.8,2021-02-12(美国)
"乐园之夜 낙원의 밤",韩国,6.6,2020-09-02(威尼斯电影节)/2021-04-09(韩国网络)
"氧气危机 Oxygen",法国/美国,6.4,2021-05-12(美国)
"蛛丝马迹 The Little Things",美国,6.5,2021-01-29(美国)
"汉南夏日",中国大陆,7.1,2020-10-16(平遥国际电影展)
"小确幸地图 The Map of Tiny Perfect Things",美国,6.9,2021-02-12(美国网络)
"在回家之后重新开始 リスタートはただいまのあとで",日本,6.6,2020-09-04(日本)
"谢里 Cherry",美国,6.6,2021-02-26(美国)/2021-03-12(美国网络)
"贩肤走卒 The Man Who Sold His Skin",突尼斯/法国/比利时/德国/瑞典/土耳其,6.9,2020-09-05(威尼斯电影节)/2021-04-02(美国网络)
"秀美人生",中国大陆,7.2,2020-09-06(中国大陆)/2020-08-13(广西点映)
"飙速宅男 弱虫ペダル",日本,6.9,2020-08-14(日本)
"黑神驹 Black Beauty",美国/英国/南非/德国/法国,7.1,2020-11-27(美国网络)
"大地 Land",美国,6.9,2021-02-12(美国)
"艺术死了",中国大陆,7.3,2020-07-29(FIRST青年影展)
"我很在乎 I Care a Lot",英国,6.3,2020-09-12(多伦多电影节)/2021-02-19(美国网络)
"鬼吹灯之黄皮子坟",中国大陆,6.0,2021-06-05(中国大陆网络)
"永生守卫 The Old Guard",美国,6.3,2020-07-10(美国)
"461个便当 461個のおべんとう",日本,6.6,2020-11-06(日本)
"邻居 이웃사람",韩国,7.5,2012-08-22(韩国)
"发财日记",中国大陆,5.9,2021-02-12(中国大陆网络)
"兴安岭猎人传说",中国大陆,6.1,2021-04-01(中国大陆)
"名侦探柯南：绯色的子弹 名探偵コナン 緋色の弾丸",日本,5.9,2021-04-17(中国大陆)/2021-04-16(日本)
"那些希望我死的人 Those Who Wish Me Dead",加拿大/美国,6.2,2021-05-14(美国)
"蓝调天后 Ma Rainey's Black Bottom",美国,6.5,2020-12-18(美国网络)
"蝙蝠侠：家庭之死 Batman: Death in the Family",美国,7.3,2020-10-13(美国)
