片名,地区,评分,上映时间
"再次出发之纽约遇见你 Begin Again",美国,8.6,2015-06-26(中国大陆)/2013-09-07(多伦多电影节)/2014-07-11(美国)
"源代码 Source Code",美国/加拿大,8.5,2011-08-30(中国大陆)/2011-03-11(西南偏南电影节)/2011-04-01(美国)
"寻子遇仙记 The Kid",美国,9.2,1921-02-06(美国)
"浪潮 Die Welle",德国,8.7,2008-03-13(德国)
"至暗时刻 Darkest Hour",英国/美国,8.6,2017-12-01(中国大陆)/2017-09-01(特柳赖德电影节)/2018-01-12(英国)
"爱乐之城 La La Land",美国,8.4,2017-02-14(中国大陆)/2016-08-31(威尼斯电影节)/2016-12-25(美国)
"伦敦一家人 Ethel & Ernest",英国,8.8,2016-10-15(伦敦电影节)/2016-10-28(英国)
"恋恋笔记本 The Notebook",美国,8.5,2004-06-25(美国)
"网络谜踪 Searching",美国/俄罗斯,8.5,2018-12-14(中国大陆)/2018-01-21(圣丹斯电影节)/2018-08-31(美国)
"彗星来的那一夜 Coherence",美国/英国,8.5,2013-09-19(奇幻电影节)/2014-08-06(美国)
"偷自行车的人 Ladri di biciclette",意大利,9.0,1948-11-24(意大利)
"谍影重重 The Bourne Identity",美国/德国/捷克,8.6,2002-11-21(中国大陆)/2002-06-14(美国)
"勇士 Warrior",美国,8.9,2011-09-09(美国)
"E.T. 外星人 E.T.: The Extra-Terrestrial",美国,8.6,1982-05-26(戛纳电影节)/1982-06-11(美国)
"完美陌生人 Perfetti sconosciuti",意大利,8.5,2018-05-25(中国大陆)/2016-02-11(意大利)
"芝加哥 Chicago",美国/德国,8.9,2002-12-27(美国)
"黑鹰坠落 Black Hawk Down",美国/英国,8.7,2001-12-18(美国)
"百万美元宝贝 Million Dollar Baby",美国,8.7,2004-12-15(美国)
"光荣之路 Paths of Glory",美国,9.1,1957-10-25
"冰雪奇缘 Frozen",美国,8.4,2014-02-05(中国大陆)/2013-11-27(美国)
"廊桥遗梦 The Bridges of Madison County",美国,8.7,1995-06-02(美国)
"伴我同行 Stand by Me",美国,8.9,1986-08-08(美国)
"追梦赤子心 Rudy",美国,8.8,1993-10-13
"洞 Le trou",法国/意大利,9.2,1960-03-18(法国)
"哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1",英国/美国,8.4,2010-11-19(中国大陆/英国)
"燃烧女子的肖像 Portrait de la jeune fille en feu",法国,8.6,2019-05-19(戛纳电影节)/2019-09-18(法国)
"无耻混蛋 Inglourious Basterds",德国/美国,8.6,2009-05-20(戛纳电影节)/2009-08-20(德国)
"伴你高飞 Fly Away Home",美国,8.9,1996-09-13
"大都会 メトロポリス",日本,8.1,2001-05-26(日本)
"霍比特人3：五军之战 The Hobbit: The Battle of the Five Armies",美国/新西兰,8.5,2015-01-23(中国大陆)/2014-12-17(美国)
"爱·回家 집으로...",韩国,9.1,2002-04-05(韩国)
"我能说 아이 캔 스피크",韩国,8.8,2017-09-21(韩国)
"金福南杀人事件始末 김복남 살인사건의 전말",韩国,8.6,2010-09-02(韩国)
"特工 공작",韩国,8.6,2018-05-11(戛纳电影节)/2018-08-08(韩国)
"假如爱有天意 클래식",韩国,8.4,2003-01-30
"共同警备区 공동경비구역 JSA",韩国,8.8,2000-09-09(韩国)
"小姐 아가씨",韩国,8.3,2016-05-14(戛纳电影节)/2016-06-01(韩国)
"黄海 황해",韩国/美国/中国香港,8.5,2010-12-22(韩国)
"开心家族 헬로우 고스트",韩国,8.6,2011-11-29(中国大陆)/2010-12-22(韩国)
"追击者 추격자",韩国,8.4,2008-02-14(韩国)
"绿洲 오아시스",韩国,8.6,2002-08-15(韩国)
"思悼 사도",韩国,8.4,2015-09-16(韩国)
"现在去见你 지금 만나러 갑니다",韩国,8.3,2018-03-14(韩国)
"我的野蛮女友 엽기적인 그녀",韩国,8.2,2001-07-27(韩国)
"薄荷糖 박하사탕",韩国/日本,8.5,1999-10-14(釜山电影节)/2000-01-01(韩国)
"诗 시",韩国,8.6,2010-05-13(韩国)
"春夏秋冬又一春 봄 여름 가을 겨울 그리고 봄",韩国/德国,8.5,2003-08-14(洛迦诺电影节)/2003-09-19(韩国)
"国际市场 국제시장",韩国,8.5,2014-12-17(韩国)
"老男孩 올드보이",韩国,8.2,2003-11-21(韩国)
"季春奶奶 계춘할망",韩国,8.5,2016-05-19(韩国)
"燃烧 버닝",韩国,8.0,2018-05-16(戛纳电影节)/2018-05-17(韩国)
"狼少年 늑대소년",韩国,8.0,2013-12-19(中国大陆)/2012-10-31(韩国)
"蒙太奇 몽타주",韩国,8.2,2013-05-16(韩国)
"和声 하모니",韩国,8.5,2010-01-28
"我的一级兄弟 나의 특별한 형제",韩国,8.3,2019-05-01(韩国)
"回家的路 집으로 가는 길",韩国,8.5,2013-12-11(韩国)
"结婚礼服 웨딩드레스",韩国,8.5,2010-01-14(韩国)
"奇怪的她 수상한 그녀",韩国,8.3,2014-01-22(韩国)
"铁雨 강철비",韩国,8.2,2017-12-14(韩国)
"孤胆特工 아저씨",韩国,8.2,2011-09-16(中国大陆)/2010-08-04(韩国)
"雏菊 데이지",韩国/中国香港,8.1,2006-04-30(中国大陆)/2006-03-09(韩国)
"我们的世界 우리들",韩国,8.4,2016-06-16(韩国)
"高地战 고지전",韩国,8.5,2011-07-20(韩国)
"率性而活 바르게 살자",韩国,8.3,2007-10-18(韩国)
"暗杀 암살",韩国,8.0,2015-09-17(中国大陆)/2015-07-22(韩国)
"我脑中的橡皮擦 내 머리 속의 지우개",韩国,8.0,2004-11-05(韩国)
"隐秘而伟大 은밀하게 위대하게",韩国,7.9,2013-06-05(韩国)
"摇摆狂潮 스윙키즈",韩国,8.2,2018-12-19(韩国)
"恶人传 악인전",韩国,7.8,2019-05-15(韩国)
"雪路 눈길",韩国,8.3,2015-02-28(电视版)/2017-03-01(电影版)
"流感 감기",韩国,7.7,2013-08-14(韩国)
"小委托人 어린 의뢰인",韩国,8.1,2019-05-22(韩国)
"隧道 터널",韩国,7.9,2016-08-10(韩国)
"太极旗飘扬 태극기 휘날리며",韩国,8.3,2004-02-06(韩国)
"空房间 빈집",韩国,8.0,2004-09-07(威尼斯电影节)/2004-10-15(韩国)
"与神同行：罪与罚 신과함께-죄와 벌",韩国,7.8,2017-12-20(韩国)
"局内人 내부자들",韩国,7.9,2015-11-19(韩国)/2015-12-31(导演剪辑版)
"男与女 남과여",韩国,8.1,2016-02-25(韩国)
"当男人恋爱时 남자가 사랑할 때",韩国,7.9,2014-01-22(韩国)
"金氏漂流记 김씨 표류기",韩国,8.3,2009-05-14(韩国)
"走到尽头 끝까지 간다",韩国,8.0,2014-05-18(戛纳电影节)/2014-05-29(韩国)
"卑劣的街头 비열한 거리",韩国,8.0,2006-06-15
"酒神小姐 죽여주는 여자",韩国,8.3,2016-02-12(柏林电影节)/2016-10-06(韩国)
"极限职业 극한직업",韩国,7.8,2019-01-23(韩国)
"夜间飞行 야간비행",韩国,8.3,2014-02-07(柏林电影节)/2014-08-28(韩国)
"欢迎来到东莫村 웰컴 투 동막골",韩国,8.2,2005-08-04(韩国)
"收件人不详 수취인불명",韩国,8.3,2001-06-02(韩国)
"世上最美的离别 세상에서 가장 아름다운 이별",韩国,8.4,2011-04-20(韩国)
"人狗奇缘 마음이...",韩国,8.4,2006-10-25(韩国)
"蜂鸟 벌새",韩国,7.9,2018-10-06(釜山电影节)/2019-08-29(韩国)
"雪国列车 설국열차",韩国/捷克,7.5,2014-03-17(中国大陆)/2013-08-01(韩国)/2014-06-27(美国)
"啪嗒啪嗒 파닥파닥",韩国,8.0,2012-07-25(韩国)
"非常主播 과속스캔들",韩国,7.9,2009-10-09(中国大陆)/2008-12-03(韩国)
"老手 베테랑",韩国,7.7,2015-08-05(韩国)
"绿头苍蝇 똥파리",韩国,8.2,2009-04-16(韩国)
"与犯罪的战争：坏家伙的全盛时代 범죄와의 전쟁 : 나쁜놈들 전성시대",韩国,7.9,2012-02-02(韩国)
"魔女 마녀",韩国,7.6,2018-06-27(韩国)
"看见恶魔 악마를 보았다",韩国,7.8,2010-08-11(韩国)
"触不到的恋人 시월애",韩国,7.9,2000-09-09(韩国)
"军舰岛 군함도",韩国,7.8,2017-07-26(韩国)
"与神同行2：因与缘 신과함께-인과 연",韩国,7.6,2018-08-01(韩国)
"汉江怪物 괴물",韩国,7.5,2006-07-27(韩国)
"少年菀得 완득이",韩国,8.1,2011-10-20(韩国)
"实尾岛 실미도",韩国,8.1,2003-12-24
"我要复仇 복수는 나의 것",韩国,7.9,2002-03-29(韩国)
"密阳 밀양",韩国,7.9,2007-05-17(韩国)
"不可饶恕 용서는 없다",韩国,7.8,2010-01-07(韩国)
"向日葵 해바라기",韩国,7.9,2006-11-23(韩国)
"杀人者的记忆法 살인자의 기억법",韩国,7.7,2017-09-06(韩国)
"王者 더 킹",韩国,7.7,2017-01-18(韩国)
"证人 증인",韩国,7.8,2019-02-13(韩国)
"亲切的金子 친절한 금자씨",韩国,7.6,2005-07-29(韩国)
"圣殇 피에타",韩国,7.8,2012-09-04(威尼斯电影节)/2012-09-06(韩国)
"内在美 뷰티 인사이드",韩国,7.6,2015-08-20(韩国)
"犯罪都市 범죄도시",韩国,7.6,2017-10-03(韩国)
"八月照相馆 8월의 크리스마스",韩国,8.0,1998-01-24(韩国)
"绝密跟踪 감시자들",韩国,7.7,2014-09-16(中国大陆)/2013-07-03(韩国)
"南汉山城 남한산성",韩国,7.9,2017-10-03(韩国)
"比悲伤更悲伤的故事 슬픔보다 더 슬픈 이야기",韩国,7.7,2009-03-12(韩国)
"孝子洞理发师 효자동 이발사",韩国,8.1,2004-05-05(韩国)
"恋爱谈 연애담",韩国,7.8,2016-05-01(全州国际电影节)
"小公女 소공녀",韩国,7.9,2017-10(釜山电影节)/2018-03-22(韩国)
"检察官外传 검사외전",韩国,7.5,2016-02-03(韩国)
"我们的幸福时光 우리들의 행복한 시간",韩国,8.1,2006-09-14(韩国)
"只有你 오직 그대만",韩国,7.8,2011-10-20(韩国)
"马拉松 말아톤",韩国,8.3,2005-01-27(韩国)
"道熙呀 도희야",韩国,7.8,2014-05-19(戛纳电影节)/2014-05-22(韩国)
"潘多拉 판도라",韩国,7.6,2016-12-07(韩国)
"马粥街残酷史 말죽거리 잔혹사",韩国,7.9,2004-01-16(韩国)
"弓 활",韩国/日本,7.7,2005-05-12(韩国)
"豆满江 두만강",韩国/中国大陆/法国,8.1,2010-02-14(柏林电影节)/2011-03-17(韩国)
"独自在夜晚的海边 밤의 해변에서 혼자",韩国,7.5,2017-02-16(柏林电影节)/2017-03-23(韩国)
"德九 덕구",韩国,7.9,2018-04-05(韩国)
"阿修罗 アシュラ",日本,8.2,2012-06-18(上海电影节)/2012-09-29(日本)
"哥哥我爱你 안녕, 형아",韩国,8.3,2005-05-27
"老千 타짜",韩国,7.6,2006-09-28
"哭声 곡성",韩国,7.3,2016-05-11(韩国)/2016-05-18(戛纳电影节)
"建筑学概论 건축학 개론",韩国,7.5,2012-03-22(韩国)
"国家破产之日 국가부도의 날",韩国,7.5,2018-11-28(韩国)
"青年警察 청년경찰",韩国,7.5,2017-08-09(韩国)
"柏林 베를린",韩国,7.5,2013-01-31(韩国)
"骗子 꾼",韩国,7.5,2017-11-22(韩国)
"韩公主 한공주",韩国,7.6,2013-10-04(釜山电影节)/2014-04-17(韩国)
"记忆之夜 기억의 밤",韩国,7.5,2017-11-29(韩国)
"不汗党 불한당: 나쁜 놈들의 세상",韩国,7.6,2017-05-17(韩国)
"这时对，那时错 지금은맞고그때는틀리다",韩国,7.6,2015-08-13(洛迦诺电影节)/2015-09-24(韩国)
"嫌疑人 용의자",韩国,7.5,2013-12-24(韩国)
"夺宝联盟 도둑들",韩国,7.2,2013-01-15(中国大陆)/2012-07-25(韩国)
"摩天楼 타워",韩国,7.5,2012-12-25(韩国)
"小森林 리틀 포레스트",韩国,7.4,2018-02-28(韩国)
"好朋友们 좋은 친구들",韩国,7.6,2014-07-10(韩国)
"你的婚礼 너의 결혼식",韩国,7.3,2018-08-22(韩国)
"之后 그 후",韩国,7.6,2017-05-22(戛纳电影节)/2017-07-06(韩国)
"断箭 부러진 화살",韩国,7.8,2011-10-09(釜山国际电影节)/2012-01-18(韩国)
"长寿商会 장수상회",韩国,7.8,2015-04-09(韩国)
"我身体里的那个家伙 내안의 그놈",韩国,7.3,2019-01-09(韩国)
"被操纵的城市 조작된 도시",韩国,7.5,2017-02-09(韩国)
"幸运钥匙 럭키",韩国,7.4,2016-10-13(韩国)
"春逝 봄날은 간다",韩国/日本/中国香港,7.9,2001-09-28(韩国)
"嫌疑人X的献身 容疑者Xの献身",日本,8.4,2008-10-04(日本)
"词典 말모이",韩国,7.7,2019-01-09(韩国)
"方糖 각설탕",韩国,8.0,2006-08-10(韩国)
"不当交易 부당거래",韩国,7.5,2010-10-28
"绿鱼 초록물고기",韩国,7.7,1997-02-07(韩国)
"那就是我的世界 그것만이 내 세상",韩国,7.8,2018-01-17(韩国)
"色即是空 색즉시공",韩国,7.3,2002-12-13(韩国)
"我是杀人犯 내가 살인범이다",韩国,7.5,2012-11-08(韩国)
"完美对垒 퍼펙트 게임",韩国,8.4,2011-12-22(韩国)
"春梦 춘몽",韩国,7.7,2016-10-06(釜山电影节)/2016-10-13(韩国)
"朋友 친구",韩国,7.8,2001-03-31(韩国)
"文集 문집",韩国,7.5,2018-01-06(韩国)
"丑女大翻身 미녀는 괴로워",韩国,7.2,2006-12-14(韩国)
"哥 형",韩国,7.6,2016-11-23(韩国)
"孩子们 아이들...",韩国,7.5,2011-02-17(韩国)
"生日 생일",韩国,7.6,2019-04-03(韩国)
"许三观 허삼관",韩国,7.4,2015-01-14(韩国)
"德惠翁主 덕혜옹주",韩国,7.6,2016-08-03(韩国)
"娘家母亲 친정엄마",韩国,8.5,2010-04-22(韩国)
"盲证 블라인드",韩国,7.5,2011-08-11(韩国)
"娑婆诃 사바하",韩国,7.2,2019-02-20(韩国)
"那家伙的声音 그놈 목소리",韩国,7.5,2007-02-01(韩国)
"中国城 차이나타운",韩国,7.3,2015-04-29(韩国)
"伟大的愿望 위대한 소원",韩国,7.4,2016-04-21(韩国)
"撒玛利亚女孩 사마리아",韩国,7.4,2004-03-05(韩国)
"庆州 경주",韩国,7.7,2014-06-12(韩国)
"独孤：倒回 독고 리와인드",韩国,8.1,2018-09-07(韩国)
"换季期 환절기",韩国,7.7,2016-10-09(釜山电影节)/2018-02-22(韩国)
"蚯蚓 지렁이",韩国,7.3,2017-04-20(韩国)
"创可贴 반창꼬",韩国,7.4,2012-12-19(韩国)
"悲伤电影 새드무비",韩国,7.7,2005-10-21(韩国)
"鬼乡 귀향",韩国,7.5,2016-02-24(韩国)
"生活的发现 생활의 발견",韩国,7.8,2002-03-22(韩国)
"共助 공조",韩国,7.3,2017-01-18(韩国)
"晚秋 만추",韩国/美国/中国香港,7.0,2012-03-23(中国大陆)/2010-09-10(多伦多电影节)/2011-02-17(韩国)/2011-06-17(美国)
"观相 관상",韩国,7.4,2013-09-11(韩国)
"被掩盖的时间 가려진 시간",韩国,7.6,2016-11-16(韩国)
"朝我心脏开枪 내 심장을 쏴라",韩国,7.6,2015-01-28(韩国)
"奶奶强盗团 육혈포강도단",韩国,7.7,2010-03-18(韩国)
"冠军 챔프",韩国,7.9,2011-09-07(韩国)
"杀人优越权 브이아이피",韩国,7.2,2017-08-23(韩国)
"七天 세븐데이즈",韩国,7.5,2007-11-14(韩国)
"老千2：神之手 타짜 : 신의 손",韩国,7.2,2014-09-03(韩国)
"女人步上楼梯时 女が階段を上る時",日本,9.2,1960-01-15(日本)
"崖上的波妞 崖の上のポニョ",日本,8.6,2020-12-31(中国大陆)/2008-07-19(日本)
"告白",日本,8.7,2010-06-05(日本)
"切腹",日本,9.3,1962-09-16(日本)
"千年女优 千年女優",日本,8.8,2001-07-28(加拿大奇幻电影节)/2002-09-14(日本)
"蜡笔小新：呼风唤雨！猛烈！大人帝国的反击 クレヨンしんちゃん 嵐を呼ぶ モーレツ!オトナ帝国の逆襲",日本,9.3,2001-04-21(日本)
"横道世之介",日本,8.8,2013-02-23(日本)
"生之欲 生きる",日本,9.2,1952-10-09(日本)
"新世纪福音战士剧场版：死与新生 新世紀エヴァンゲリオン劇場版 シト新生",日本,9.2,1997-03-15(日本)
"穿越时空的少女 時をかける少女",日本,8.6,2006-07-15(日本)
"鬼灭之刃 兄妹的羁绊 鬼滅の刃 兄妹の絆",日本,9.1,2019-03-29(日本)
"福音战士新剧场版：序 ヱヴァンゲリヲン新劇場版：序",日本,9.1,2007-09-01(日本)
"影武者",日本/美国,9.0,1980-04-26(日本)
"大雄的怀念奶奶 おばあちゃんの思い出",日本,9.4,2000-03-11
"攻壳机动队2：无罪 攻殻機動隊2 イノセンス",日本,9.1,2004-03-06(日本)/2004-05-20(戛纳电影节)
"情迷意乱 乱れる",日本,9.1,1964-01-15(日本)
"乱",日本/法国,8.9,1985-06-01(日本)
"如父如子 そして父になる",日本,8.7,2013-09-28(日本)
"楢山节考 楢山節考",日本,9.0,1983-04-29(日本)
"春宵苦短，少女前进吧！ 夜は短し歩けよ乙女",日本,8.7,2017-04-07(日本)
"红猪 紅の豚",日本,8.5,1992-07-18(日本)
"回忆三部曲 Memories",日本,8.9,1995-12-23(日本)
"名侦探柯南：通向天国的倒计时 名探偵コナン 天国へのカウントダウン",日本,8.6,2001-04-21(日本)
"名侦探柯南：世纪末的魔术师 名探偵コナン 世紀末の魔術師",日本,8.6,1999-04-17(日本)
"垫底辣妹 ビリギャル",日本,8.3,2016-04-14(中国大陆)/2015-05-01(日本)
"秒速5厘米 秒速5センチメートル",日本,8.3,2007-03-03(日本)
"燕尾蝶 スワロウテイル",日本,8.7,1996-09-14(日本)
"奇迹 奇跡",日本,8.8,2011-06-11(日本)
"用心棒",日本,8.9,1961-04-25(日本)
"东京家族 東京家族",日本,8.8,2013-01-19(日本)
"花火 HANA-BI",日本,8.6,1997-09-03(威尼斯电影节)/1998-01-24(日本)
"吹响悠风号剧场版：誓言的终章 劇場版 響け！ユーフォニアム～誓いのフィナーレ～",日本,9.2,2019-04-19(日本)
"银魂剧场版：完结篇 直到永远的万事屋 劇場版 銀魂 完結篇 万事屋よ永遠なれ",日本,9.3,2013-07-06(日本)
"红鳉鱼 赤めだか",日本,9.0,2015-12-28(日本)
"狼的孩子雨和雪 おおかみこどもの雨と雪",日本,8.6,2012-07-21(日本)
"轻音少女 剧场版 映画 けいおん!",日本,9.2,2011-12-03(日本)
"哪啊哪啊神去村 WOOD JOB！神去なあなあ日常",日本,8.6,2014-05-10(日本)
"岁月的童话 おもひでぽろぽろ",日本,8.6,1991-07-20(日本)
"心理游戏 マインド・ゲーム",日本,8.9,2004-08-07(日本)
"夏日大作战 サマーウォーズ",日本,8.6,2009-08-01(日本)
"言叶之庭 言の葉の庭",日本,8.3,2013-05-31(日本)
"凉宫春日的消失 涼宮ハルヒの消失",日本,9.1,2010-02-06(日本)
"魔卡少女樱剧场版：被封印的卡片 劇場版カードキャプターさくら 封印されたカード",日本,9.0,2000-07-15(日本)
"剧场版魔法少女小圆 新篇 叛逆的故事 劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語",日本,9.1,2013-10-26(日本)
"青春期猪头少年不做怀梦少女的梦 青春ブタ野郎はゆめみる少女の夢を見ない",日本,8.7,2019-06-15(日本)/2019-09-27(台湾)
"星际牛仔：天国之门 カウボーイビバップ 天国の扉",日本/美国,8.9,2001-09-01(日本)
"蜡笔小新：呼风唤雨！夕阳下的春日部男孩 クレヨンしんちゃん 嵐を呼ぶ!夕陽のカスカベボーイズ",日本,9.1,2004-04-17
"秋刀鱼之味 秋刀魚の味",日本,8.7,1962-11-18(日本)
"空之境界 第五章 矛盾螺旋 劇場版 空の境界 第五章 矛盾螺旋",日本,9.3,2008-08-16
"梦 夢",日本/美国,8.7,1990-05-10(戛纳电影节)/1990-05-25(日本)/1990-08-24(美国)
"利兹与青鸟 リズと青い鳥",日本,8.7,2018-04-21(日本)
"河童之夏 河童のクゥと夏休み",日本,8.7,2007-07-28(日本)
"盗钥匙的方法 鍵泥棒のメソッド",日本,8.5,2012-06-17(上海国际电影节)/2012-09-15(日本)
"名侦探柯南：引爆摩天楼 名探偵コナン 時計じかけの摩天楼",日本,8.4,1997-04-19(日本)
"她的回忆 彼女の想いで",日本,8.8,1995-12-23(日本)
"名侦探柯南：红之校外旅行 Detective Conan：The Scarlet School Trip",日本,9.1,2020-11-20(中国台湾)/2019-01-05(日本)
"我们仍未知道那天所看见的花的名字 剧场版 劇場版 あの日見た花の名前を僕達はまだ知らない。",日本,8.6,2013-08-31(日本)
"坏孩子的天空 キッズ・リターン",日本,8.5,1996-07-27(日本)
"吸血鬼猎人D バンパイアハンターD",日本/美国,8.8,2000-10-31(中国香港)/2000-07(加拿大幻想曲电影节)/2001-04-17(日本)/2001-09-28(美国)
"阿基拉 Akira",日本,8.5,1988-07-16(日本)
"玉子爱情故事 たまこラブストーリー",日本,8.4,2014-04-26(日本)
"名侦探柯南：迷宫的十字路口 名探偵コナン 迷宮の十字路",日本,8.4,2003-04-19
"那年夏天，宁静的海 あの夏、いちばん静かな海。",日本,8.5,1991-10-19(日本)
"起风了 風立ちぬ",日本,8.1,2013-07-20(日本)
"哆啦A梦：伴我同行 STAND BY ME ドラえもん",日本,8.1,2015-05-28(中国大陆)/2014-08-08(日本)
"椿三十郎",日本,8.8,1962-01-01(日本)
"死者田园祭 田園に死す",日本,8.9,1974-12-28
"银魂剧场版：新译红樱篇 劇場版 銀魂 新訳紅桜篇",日本,9.1,2010-04-24(日本)/2011-12-08
"迪迦奥特曼：最终圣战 ウルトラマンティガ THE FINAL ODYSSEY",日本,8.9,2000-03-11(日本)
"普罗米亚 プロメア",日本,8.0,2021-06-05(中国大陆)/2019-05-24(日本)
"樱桃小丸子 ちびまる子ちゃん",日本,9.1,1990-12-15(日本)
"麦秋 麥秋",日本,8.8,1951-10-03(日本)
"蜡笔小新：呼风唤雨！战国大合战 映画クレヨンしんちゃん 嵐を呼ぶ アッパレ！戦国大合戦",日本,8.9,2002-04-20(日本)
"名侦探柯南：瞳孔中的暗杀者 名探偵コナン 瞳の中の暗殺者",日本,8.3,2000-04-22(日本)
"夏目友人帐 劇場版 夏目友人帳 ～うつせみに結ぶ～",日本,8.0,2019-03-07(中国大陆)/2018-09-29(日本)
"来自深渊：流浪的黄昏 メイドインアビス 放浪する黄昏",日本,9.1,2019-01-18(日本)
"辉夜姬物语 かぐや姫の物語",日本,8.5,2013-11-23(日本)
"编舟记 舟を編む",日本,8.6,2013-04-13(日本)
"晩春",日本,8.7,1949-09-13(日本)
"黄昏的清兵卫 たそがれ清兵衛",日本,8.8,2002-11-02(日本)
"新世纪福音战士剧场版：复兴 新世紀エヴァンゲリオン劇場版 DEATH(TRUE)²/Air/まごころを、君に",日本,9.3,1998-03-07(日本)
"导盲犬小Q クイール",日本,8.5,2004-03-13(日本)
"摄影机不要停！ カメラを止めるな！",日本,8.2,2017-11-04(东京首映)/2018-06-23(日本)
"百元之恋 百円の恋",日本,8.3,2014-12-20(日本)
"百变狸猫 平成狸合戦ぽんぽこ",日本,8.5,1994-07-16(日本)
"我的邻居山田君 ホーホケキョとなりの山田くん",日本,8.8,1999-07-17(日本)
"濑户内海 セトウツミ",日本,8.3,2016-06-12(上海电影节)/2016-07-02(日本)
"海贼王剧场版10：强者天下 ONE PIECE FILM STRONG WORLD",日本,8.7,2009-12-12(日本)
"海贼王剧场版Z ONE PIECE FILM Z",日本,8.6,2013-02-14(中国香港)/2012-12-15(日本)
"吹响悠风号剧场版：想要传达的旋律 劇場版 響け！ユーフォニアム～届けたいメロディ～",日本,9.2,2017-09-30(日本)
"灵能百分百 REIGEN モブサイコ100 REIGEN ～知られざる奇跡の霊能力者～",日本,8.8,2018-03-18(日本)
"剑风传奇 黄金时代篇3：降临 ベルセルク 黄金時代篇Ⅲ 降臨",日本,8.9,2013-02-01(日本)
"永远的三丁目的夕阳 ALWAYS 三丁目の夕日",日本,8.8,2005-11-05(日本)
"金色梦乡 ゴールデンスランバー",日本,8.4,2010-01-30(日本)
"佛兰德斯的狗 フランダースの犬",日本/美国,8.9,1997-03-15(日本)
"悲伤的贝拉多娜 哀しみのベラドンナ",日本,8.9,1973-06-30(日本)
"青之炎 青の炎",日本,8.7,2003-03-15(日本)
"有熊谷守一在的地方 モリのいる場所",日本,8.4,2018-04-10(北京电影节)/2018-05-19(日本)
"日日是好日",日本,8.2,2018-10-05(釜山电影节)/2018-10-13(日本)
"春天情书 （ハル）",日本,8.6,1996-03-09(日本)
"早安 お早よう",日本,8.7,1959-05-12
"剧场版魔法少女小圆 后篇 永远的故事 劇場版 魔法少女まどか☆マギカ [後編] 永遠の物語",日本,9.1,2012-10-27(中国香港)/2012-10-13(日本)
"猫的报恩 猫の恩返し",日本,8.1,2002-07-19(日本)
"命运石之门剧场版：负荷领域的既视感 劇場版 STEINS;GATE 負荷領域のデジャヴ",日本,8.8,2013-04-20(日本)
"四月物语 四月物語",日本,8.2,1998-03-14(日本)
"人生密密缝 彼らが本気で編むときは、",日本,8.5,2017-02-10(柏林电影节)/2017-02-25(日本)
"雨月物语 雨月物語",日本,8.6,1953-03-26
"攻壳机动队2.0 攻殻機動隊2.0",日本,9.0,2008-07-12(日本)
"啊，荒野 后篇 あゝ、荒野 後篇",日本,8.6,2017-10-21(日本)
"福音战士新剧场版：Q ヱヴァンゲリヲン新劇場版：Q",日本,8.4,2012-11-17(日本)
"夺命剑 上意討ち 拝領妻始末",日本,9.0,1967-05-27(日本)
"天国与地狱 天国と地獄",日本,8.7,1963-03-01(日本)
"名侦探柯南：第十四个目标 名探偵コナン 14番目の標的",日本,8.1,1998-04-18(日本)
"名侦探柯南：章节ONE 变小的名侦探 名探偵コナン エピソード "ONE" 小さくなった名探偵",日本,8.4,2016-12-09(日本)
"空之境界 第七章 杀人考察（后） 劇場版 空の境界 第七章 殺人考察（後）",日本,9.0,2009-08-08
"红胡子 赤ひげ",日本,8.7,1965-04-03(日本)
"异邦人：无皇刃谭 ストレンヂア 無皇刃譚",日本,8.6,2007-09-29(日本)
"空之境界 未来福音 劇場版 空の境界 未来福音",日本,9.1,2013-09-28(日本)
"火影忍者剧场版：博人传 BORUTO -NARUTO THE MOVIE-",日本,8.3,2016-02-18(中国大陆)/2015-08-07(日本)
"为你取名的那一天 犬に名前をつける日",日本,8.4,2015-10-31(日本)
"记我的母亲 わが母の記",日本,8.7,2012-04-28(日本)
"复活的鲁路修 コードギアス 復活のルルーシュ",日本,8.7,2019-02-09(日本)
"蜘蛛巢城 蜘蛛巣城",日本,8.5,1957-01-15(日本)
"东京塔 東京タワー～オカンとボクと、時々、オトン～",日本,8.6,2007-04-14(日本)
"复仇在我 復讐するは我にあり",日本,8.4,1979-04-21(日本)
"啊，荒野 前篇 あゝ、荒野 前篇",日本,8.4,2017-10-07(日本)
"中二病也要谈恋爱！剧场版 -Take On Me- 映画 中二病でも恋がしたい！ -Take On Me-",日本,8.7,2018-01-06(日本)
"祈祷落幕时 祈りの幕が下りる時",日本,8.0,2019-04-12(中国大陆)/2018-01-27(日本)
"空之境界 第三章 痛觉残留 劇場版 空の境界 第三章 痛覚残留",日本,8.9,2008-02-09(日本)
"海贼王剧场版9：冬季绽放的奇迹之樱 ONE PIECE エピソード オブ チョッパー プラス 冬に咲く、奇跡の桜",日本,8.6,2008-03-01
"兽兵卫忍风帖 獣兵衛忍風帖",日本,8.7,1993-06-05(日本)
"生存家族 サバイバルファミリー",日本,8.1,2018-06-22(中国大陆)/2016-12-12(澳门国际影展)/2017-02-11(日本)
"放浪记 放浪記",日本,8.6,1962-09-29(日本)
